"simulation","N","N.1"
"1","50",399.959388312477
"2","50",398.98081269966
"3","50",399.831252776069
"4","50",364.224464294874
"5","50",398.047290010678
"6","50",399.9210072866
"7","50",399.949881929493
"8","50",396.608957728909
"9","50",399.437722527147
"10","50",388.015839521135
"11","50",398.912881148488
"12","50",399.647644365823
"13","50",321.657485084333
"14","50",399.607296272913
"15","50",399.538353497227
"16","50",399.947470541718
"17","50",399.74459908593
"18","50",399.564780548764
"19","50",399.966809151607
"20","50",399.194868500224
"21","50",399.823105988693
"22","50",399.722501113653
"23","50",399.959584700193
"24","50",399.919679440866
"25","50",397.943712959903
"26","50",398.791197942753
"27","50",356.059904616916
"28","50",360.454776261189
"29","50",399.881872218082
"30","50",378.261473065544
"31","50",399.450270995114
"32","50",399.95755807931
"33","50",399.966963370947
"34","50",399.859606482534
"35","50",399.848350483016
"36","50",398.749070617694
"37","50",399.939655776298
"38","50",399.899202860782
"39","50",395.135315874755
"40","50",399.961902936835
"41","50",399.960014240947
"42","50",399.919917063406
"43","50",399.54347795947
"44","50",399.77338482647
"45","50",399.774040073789
"46","50",399.745106648794
"47","50",399.934983183686
"48","50",399.063795395261
"49","50",399.833834900579
"50","50",399.962081827354
"51","50",394.672247953737
"52","50",398.858552100035
"53","50",399.969291599845
"54","50",367.027442215677
"55","50",399.90383243497
"56","50",399.958046739573
"57","50",399.972564954181
"58","50",399.57426847281
"59","50",319.490590932138
"60","50",399.944755216462
"61","50",399.952355126608
"62","50",399.940980587435
"63","50",399.472989458602
"64","50",399.956494052699
"65","50",383.34377433407
"66","50",399.937310332952
"67","50",398.86553954457
"68","50",399.920800848016
"69","50",399.469678189777
"70","50",399.838732439681
"71","50",399.530653384332
"72","50",399.905395201081
"73","50",399.957255913783
"74","50",399.949433181229
"75","50",398.945366130914
"76","50",399.945154898653
"77","50",399.968200406239
"78","50",399.971509300667
"79","50",399.768523837256
"80","50",399.961851662192
"81","50",370.11988914042
"82","50",399.964181550167
"83","50",399.925480031073
"84","50",395.966406007095
"85","50",399.971154078688
"86","50",399.965551464075
"87","50",399.950365862153
"88","50",399.959944262858
"89","50",399.925034444346
"90","50",399.772345547677
"91","50",399.905379380287
"92","50",399.84691394917
"93","50",399.971100649985
"94","50",399.968616959073
"95","50",399.924687866953
"96","50",399.953056659545
"97","50",399.973483702613
"98","50",399.965602467119
"99","50",399.937618675075
"100","50",399.477925830278
"101","50",399.932044516146
"102","50",399.96256895605
"103","50",394.118785730966
"104","50",399.973440907004
"105","50",399.746493828816
"106","50",399.96830353583
"107","50",399.934144385663
"108","50",399.313426818388
"109","50",399.956410283282
"110","50",399.967098427295
"111","50",399.820684803014
"112","50",352.307469375341
"113","50",399.961110832121
"114","50",399.241936926883
"115","50",399.924215249814
"116","50",399.893419823034
"117","50",399.949318924457
"118","50",399.920736738975
"119","50",399.844345694891
"120","50",399.830462814627
"121","50",399.867272482295
"122","50",398.782887562938
"123","50",399.933148629837
"124","50",399.952238838426
"125","50",399.436770986248
"126","50",342.537933873935
"127","50",399.966471093974
"128","50",399.73957419384
"129","50",399.812779063293
"130","50",399.900792027946
"131","50",395.444448565507
"132","50",399.498196935089
"133","50",399.649612102708
"134","50",399.933051011899
"135","50",399.959385882637
"136","50",357.557490779312
"137","50",398.037364049753
"138","50",399.962974160374
"139","50",399.884057534794
"140","50",399.966933417741
"141","50",399.753294589827
"142","50",398.875122621088
"143","50",399.950018181638
"144","50",399.972919333275
"145","50",399.94844931441
"146","50",399.531060560282
"147","50",359.772461674134
"148","50",399.944392069142
"149","50",398.916099208966
