"N","Mean","bias","mse","prob","cover","model"
50,-0.260001097096361,-0.0368575457821517,0.00135847868108341,0.394,0.958,"Laplace-Uniform"
100,-0.258729165129347,-0.0355856138151378,0.00126633591060012,0.702,0.954,"Laplace-Uniform"
150,-0.26795682859615,-0.0448132772819403,0.00200822982074807,0.864,0.92,"Laplace-Uniform"
200,-0.258723623327656,-0.0355800720134459,0.001265941524482,0.936,0.948,"Laplace-Uniform"
250,-0.260825832713994,-0.0376822813997842,0.00141995433149252,0.968,0.908,"Laplace-Uniform"
300,-0.259919676916351,-0.0367761256021417,0.0013524834143045,0.978,0.916,"Laplace-Uniform"
350,-0.259535231276705,-0.0363916799624953,0.00132435437049268,0.988,0.922,"Laplace-Uniform"
400,-0.254548117306284,-0.0314045659920744,0.000986246765150554,0.992,0.904,"Laplace-Uniform"
450,-0.256776660461172,-0.033633109146962,0.00113118603089146,0.996,0.9,"Laplace-Uniform"
500,-0.256895473964271,-0.0337519226500608,0.00113919228257569,0.998,0.896,"Laplace-Uniform"
