"simulation","cohort","N","Mean"
"1","1","50",-0.207602844957453
"2","1","50",-0.232234923004528
"3","1","50",-0.203670526567744
"4","1","50",-0.209207446494149
"5","1","50",-0.0844478427937955
"6","1","50",-0.136511945823496
"7","1","50",-0.19764183478282
"8","1","50",-0.386160569504041
"9","1","50",-0.119313262440979
"10","1","50",-0.214556479607553
"11","1","50",-0.0765671814681801
"12","1","50",-0.265750488746413
"13","1","50",-0.229992257647947
"14","1","50",-0.497550117649292
"15","1","50",-0.307793602279766
"16","1","50",-0.426647218126924
"17","1","50",-0.140748232723174
"18","1","50",-0.215948628265805
"19","1","50",-0.31695498925989
"20","1","50",-0.105255934709624
"21","1","50",-0.347022008569542
"22","1","50",-0.52246137825295
"23","1","50",-0.255691373227338
"24","1","50",-0.125816795298467
"25","1","50",-0.225600301062892
"26","1","50",-0.0920595499774111
"27","1","50",-0.0891897908812666
"28","1","50",-0.206552848195975
"29","1","50",-0.498498593721407
"30","1","50",-0.464840682316774
"31","1","50",-0.218511078586187
"32","1","50",-0.162099477211127
"33","1","50",-0.141119939494502
"34","1","50",-0.428006783210254
"35","1","50",-0.248456771525927
"36","1","50",-0.0518362727420755
"37","1","50",-0.182351155626757
"38","1","50",-0.177448291231074
"39","1","50",-0.160192596816456
"40","1","50",-0.360883267027856
"41","1","50",-0.40952921719644
"42","1","50",-0.671520035581523
"43","1","50",-0.0556246883731865
"44","1","50",-0.132837507480705
"45","1","50",-0.158854870086634
"46","1","50",-0.178279312100684
"47","1","50",-0.473710169107205
"48","1","50",-0.371065691849884
"49","1","50",-0.175710597731498
"50","1","50",-0.123411648400575
"51","1","50",-0.0518241653388285
"52","1","50",-0.399219638717311
"53","1","50",-0.0955714759483892
"54","1","50",-0.473866398238227
"55","1","50",-0.156780608279754
"56","1","50",-0.47110897331986
"57","1","50",-0.00902169568184894
"58","1","50",-0.324725261385372
"59","1","50",-0.495118435908618
"60","1","50",-0.374480037464339
"61","1","50",-0.0181715876605801
"62","1","50",-0.627289895772705
"63","1","50",-0.352780187590285
"64","1","50",0.233340903267644
"65","1","50",-0.215276709755887
"66","1","50",-0.566314334013768
"67","1","50",-0.0963781931954876
"68","1","50",0.0858398658024843
"69","1","50",-0.40479790116076
"70","1","50",-0.305770478401487
"71","1","50",-0.241344549420799
"72","1","50",-0.0744933109076102
"73","1","50",-0.332406091115352
"74","1","50",-0.197486400007526
"75","1","50",-0.216420679016184
"76","1","50",-0.495678066887355
"77","1","50",0.200377002040189
"78","1","50",0.364458490145229
"79","1","50",-0.153848155091989
"80","1","50",-0.220433349174578
"81","1","50",-0.0509767729155914
"82","1","50",-0.19845412766527
"83","1","50",-0.07520372822946
"84","1","50",-0.227334647603793
"85","1","50",-0.337406543165996
"86","1","50",-0.0436777222712072
"87","1","50",-0.0580622434936434
"88","1","50",-0.0136842814005524
"89","1","50",-0.135998987722154
"90","1","50",-0.0338929912095681
"91","1","50",-0.241797723946302
"92","1","50",-0.0900578068410276
"93","1","50",-0.352111552855621
"94","1","50",-0.270837285314967
"95","1","50",-0.267713359546563
"96","1","50",-0.0312792322502148
"97","1","50",-0.161146823153623
"98","1","50",-0.304711623078416
"99","1","50",-0.0431022006459045
"100","1","50",-0.231794742891975
"101","1","50",-0.0476514847088469
"102","1","50",-0.464495803659765
"103","1","50",-0.23498017095447
"104","1","50",-0.420932438764565
"105","1","50",0.0440322370283691
"106","1","50",-0.029520271384113
"107","1","50",-0.342050556996901
"108","1","50",-0.104323842749763
"109","1","50",-0.0552804826127168
"110","1","50",-0.293818094538861
"111","1","50",-0.232148433377002
"112","1","50",-0.0574611921344039
"113","1","50",-0.274955781727494
"114","1","50",-0.213701942373248
"115","1","50",-0.341961202849831
"116","1","50",-0.320739006385542
"117","1","50",-0.0929895148019563
"118","1","50",-0.107256278955919
"119","1","50",0.0405802556729692
"120","1","50",-0.280557654563469
"121","1","50",-0.245774907435783
"122","1","50",0.258940066080827
"123","1","50",-0.352463439584882
"124","1","50",-0.202271240630569
"125","1","50",-0.0985784067976301
"126","1","50",-0.295980424559499
"127","1","50",-0.267277082408564
"128","1","50",-0.561727887008689
"129","1","50",0.137132320724985
"130","1","50",-0.281022420674709
"131","1","50",-0.16322730775457
"132","1","50",-0.0608702571700537
"133","1","50",-0.468966390330982
"134","1","50",-0.118155270535596
"135","1","50",-0.583713603398729
"136","1","50",0.165602906843246
"137","1","50",-0.0279665681724878
"138","1","50",-0.397437745724211
"139","1","50",-0.194219170228283
"140","1","50",-0.499190733912355
"141","1","50",-0.247923563225946
"142","1","50",-0.479934921452001
"143","1","50",-0.219850158097246
"144","1","50",-0.108318391766417
"145","1","50",-0.292404897518394
"146","1","50",-0.490187996505533
"147","1","50",-0.195751310896925
"148","1","50",-0.193568488643631
"149","1","50",-0.263297686264683
"150","1","50",0.00826058941135998
"151","1","50",-0.30146293076777
"152","1","50",-0.339339978164071
"153","1","50",-0.233148224630653
"154","1","50",-0.360850163092863
"155","1","50",-0.699103015967663
"156","1","50",-0.101243744092818
"157","1","50",-0.247480252573174
"158","1","50",-0.254675095117918
"159","1","50",-0.548907446977703
"160","1","50",-0.36074690723137
"161","1","50",-0.188196795546038
"162","1","50",-0.249608952805388
"163","1","50",-0.0320765663518583
"164","1","50",-0.312154619137984
"165","1","50",-0.0542696421505519
"166","1","50",-0.174618388553792
"167","1","50",-0.283178243580237
"168","1","50",-0.276900776970826
"169","1","50",-0.127843692741097
"170","1","50",0.0573027761243443
"171","1","50",-0.40113442987862
"172","1","50",-0.330402916271215
"173","1","50",-0.197453924972984
"174","1","50",-0.187705622577144
"175","1","50",-0.362064545304776
"176","1","50",-0.121948854654052
"177","1","50",-0.277083269026474
"178","1","50",-0.218777680830623
"179","1","50",-0.288408051682962
"180","1","50",-0.11356205158445
