"simulation","N","N.1"
"1","50",303.308594351317
"2","50",285.854953970876
"3","50",309.173931020664
"4","50",284.659825279495
"5","50",306.287839981895
"6","50",268.554782832327
"7","50",289.510417011061
"8","50",294.695031888154
"9","50",287.161927060548
"10","50",287.679867212028
"11","50",288.813580744735
"12","50",283.477841404117
"13","50",305.555858221883
"14","50",324.708881136128
"15","50",290.972287773299
"16","50",290.25242461767
"17","50",308.108690865139
"18","50",290.606298629113
"19","50",301.088110089724
"20","50",280.369643841174
"21","50",261.558802427054
"22","50",320.690839522873
"23","50",310.855080923932
"24","50",235.08012489225
"25","50",307.502303090405
"26","50",255.008138760817
"27","50",255.743911349746
"28","50",300.811255874432
"29","50",295.70381007091
"30","50",313.626944927136
"31","50",309.75463256868
"32","50",285.058867579295
"33","50",228.687096412035
"34","50",297.787955490398
"35","50",296.043421403707
"36","50",269.806677948673
"37","50",299.140618690164
"38","50",274.524030416574
"39","50",245.678552646286
"40","50",310.679525902571
"41","50",311.563898132893
"42","50",238.319429173963
"43","50",292.455105694114
"44","50",274.110492426803
"45","50",274.07695336858
"46","50",244.42736843747
"47","50",241.228293021266
"48","50",265.144079439841
"49","50",265.475659163884
"50","50",267.518300342737
"51","50",245.909069606488
"52","50",244.214946875936
"53","50",246.409302468657
"54","50",289.723441262394
"55","50",286.070418264449
"56","50",250.952477723203
"57","50",219.939543928051
"58","50",297.234357321709
"59","50",298.584448239204
"60","50",289.514298119243
"61","50",304.932083651237
"62","50",318.197765547012
"63","50",288.86323691779
"64","50",258.032443933568
"65","50",311.868764482806
"66","50",305.438193148657
"67","50",265.759108732174
"68","50",252.623670701152
"69","50",302.98747629879
"70","50",314.566430998862
"71","50",313.800166497259
"72","50",267.574119184096
"73","50",275.454072260648
"74","50",307.631164391776
"75","50",299.586485534939
"76","50",290.557387743286
"77","50",183.515347870022
"78","50",224.896310719797
"79","50",287.721463991537
"80","50",287.896204179005
"81","50",278.451561060255
"82","50",288.134395845203
"83","50",248.991026874504
"84","50",294.819630895153
"85","50",303.68233079932
"86","50",268.746192851839
"87","50",245.164911478086
"88","50",242.436356148363
"89","50",297.664013183632
"90","50",238.061329963917
"91","50",309.34785099634
"92","50",255.50767584096
"93","50",286.051263204175
"94","50",220.254918192577
"95","50",264.906083489385
"96","50",274.488917608515
"97","50",308.785313298677
"98","50",293.863325996986
"99","50",293.647569238876
"100","50",289.931743979489
"101","50",309.152442641762
"102","50",315.49538300683
"103","50",295.892695049403
"104","50",280.689703106239
"105","50",305.746274709569
"106","50",305.122803468717
"107","50",315.875687104173
"108","50",313.716574091765
"109","50",303.454747268598
"110","50",259.6011434036
"111","50",278.891354429941
"112","50",247.398674935244
"113","50",296.874343155128
"114","50",259.957084127899
"115","50",311.108010208755
"116","50",307.741355154495
"117","50",260.223111370167
"118","50",310.662298163404
"119","50",292.488658398105
"120","50",309.133229768163
"121","50",296.462262368673
"122","50",241.162302779507
"123","50",268.788184541125
"124","50",291.126287298804
"125","50",210.506908786122
"126","50",283.201603291759
"127","50",251.891356909117
"128","50",274.022785964563
"129","50",190.729598994398
"130","50",310.253351654629
"131","50",240.679849262131
"132","50",306.181738363619
"133","50",314.328449567439
"134","50",304.209952766409
"135","50",292.819541158977
"136","50",304.706553774089
"137","50",298.749651120965
"138","50",250.473020408969
"139","50",304.549437670582
"140","50",255.703792934474
"141","50",247.965677265075
"142","50",284.62902893112
"143","50",246.53369698317
"144","50",256.862685544919
"145","50",302.01376827767
"146","50",252.745351905882
"147","50",298.330191902104
"148","50",289.529639784964
"149","50",306.233315378947
"150","50",296.945226808557
"151","50",312.117367585082
"152","50",301.429669646003
"153","50",301.678144746052
"154","50",264.75636525382
"155","50",224.677554350003
"156","50",261.558929990904
"157","50",294.796476317677
"158","50",299.530699844046
"159","50",317.099834358654
"160","50",309.213635896687
"161","50",283.451086558999
"162","50",232.784267856135
"163","50",269.317492913048
"164","50",233.303841738577
"165","50",287.021659380332
"166","50",311.081848238879
"167","50",253.955918716687
"168","50",304.552607674819
"169","50",302.306292989751
"170","50",283.479012275194
"171","50",317.470642933572
"172","50",302.274983247046
"173","50",294.004692923894
"174","50",306.516067396028
"175","50",289.166459523412
"176","50",305.936335435319
"177","50",276.469690729008
"178","50",297.466469563796
"179","50",308.722901512014
"180","50",287.27761161792
"181","50",216.209872861476
"182","50",311.849799611851
"183","50",306.765347017537
"184","50",257.662332806384
"185","50",293.147607977618
"186","50",314.291858300765
"187","50",285.934386650809
"188","50",242.884379767477
"189","50",243.007655845803
"190","50",256.236404287633
"191","50",310.005292045838
"192","50",290.440331245918
"193","50",312.204938658292
"194","50",296.509232216723
"195","50",305.770950246418
"196","50",266.903484987711
"197","50",224.041509404469
"198","50",308.014047812592
"199","50",306.28298916583
"200","50",320.176580097266
"201","50",302.797130422996
"202","50",259.211245270646
"203","50",269.94531445847
"204","50",314.141796424249
"205","50",306.522079848495
"206","50",307.047330116884
"207","50",294.87595077343
"208","50",295.056352957466
"209","50",286.810694378617
"210","50",299.643274772783
"211","50",300.646155605684
"212","50",290.504535599624
"213","50",299.242827082126
"214","50",249.946822865474
"215","50",288.185838581991
"216","50",269.436961686161
"217","50",281.889159344787
"218","50",260.384476137867
"219","50",243.537857144429
"220","50",282.225449351797
"221","50",310.235965803908
"222","50",253.020113073757
"223","50",311.76172105383
"224","50",305.033832863198
"225","50",252.360210951866
"226","50",278.955425366765
"227","50",266.250782503356
"228","50",298.81479100252
"229","50",288.954244194962
"230","50",271.81414067962
"231","50",314.148953820939
"232","50",297.255169790868
"233","50",310.738040947067
"234","50",320.473560973427
"235","50",293.523075197297
"236","50",253.165096443609
"237","50",313.691268848976
"238","50",304.543166574623
"239","50",299.245977352429
"240","50",261.583872400451
"241","50",281.268986438759
"242","50",222.767351469922
"243","50",306.961683177824
"244","50",309.929943958883
"245","50",311.496725289851
"246","50",288.817856183919
"247","50",258.768087578076
"248","50",257.935799024355
"249","50",318.04927320309
"250","50",315.308400447516
"251","50",302.729688572001
"252","50",291.113873477497
"253","50",288.976288704516
"254","50",217.452244048995
"255","50",310.877452156915
"256","50",262.805492808556
"257","50",306.871266280617
"258","50",307.727926445771
