"simulation","cohort","N","Sd"
"1","1","50",0.149909043803801
"2","1","50",0.160784831216324
"3","1","50",0.147777340946045
"4","1","50",0.156340801677055
"5","1","50",0.144223567910321
"6","1","50",0.151639134495458
"7","1","50",0.153631212302277
"8","1","50",0.153884612938521
"9","1","50",0.15422425004611
"10","1","50",0.153070526900079
"11","1","50",0.153511289982877
"12","1","50",0.157277721922913
"13","1","50",0.14884822748244
"14","1","50",0.139934223400732
"15","1","50",0.158033389547344
"16","1","50",0.157213205119295
"17","1","50",0.14639128825454
"18","1","50",0.153503793679422
"19","1","50",0.149160776350483
"20","1","50",0.152878168457479
"21","1","50",0.169923487273023
"22","1","50",0.146668429497854
"23","1","50",0.148772901739403
"24","1","50",0.164452843552986
"25","1","50",0.148386417693661
"26","1","50",0.167433059689341
"27","1","50",0.160201287767955
"28","1","50",0.150619415972741
"29","1","50",0.153758512234762
"30","1","50",0.148451097962453
"31","1","50",0.145581454534471
"32","1","50",0.153914093326637
"33","1","50",0.173185223609274
"34","1","50",0.156620932154467
"35","1","50",0.157471733585802
"36","1","50",0.16327124325129
"37","1","50",0.152978821667831
"38","1","50",0.158467487893998
"39","1","50",0.173392350286163
"40","1","50",0.149304177528836
"41","1","50",0.143858017910451
"42","1","50",0.175411898319721
"43","1","50",0.15049172344693
"44","1","50",0.157162850529173
"45","1","50",0.15463345713577
"46","1","50",0.165322388973226
"47","1","50",0.171860454289048
"48","1","50",0.164613597455949
"49","1","50",0.161768284203062
"50","1","50",0.157328428549957
"51","1","50",0.166493061222095
"52","1","50",0.166195562320222
"53","1","50",0.162352430504116
"54","1","50",0.150176766066547
"55","1","50",0.157889582235379
"56","1","50",0.166041544572148
"57","1","50",0.174962768561167
"58","1","50",0.153761093892275
"59","1","50",0.153682707829927
"60","1","50",0.151345549084789
"61","1","50",0.148307268864954
"62","1","50",0.150399486459923
"63","1","50",0.153942115714956
"64","1","50",0.162487350826759
"65","1","50",0.148147728132327
"66","1","50",0.152997522837947
"67","1","50",0.160911254790408
"68","1","50",0.162703036054831
"69","1","50",0.146740075674105
"70","1","50",0.147085127354424
"71","1","50",0.153373235611419
"72","1","50",0.155312649323831
"73","1","50",0.159884184584308
"74","1","50",0.148206260342626
"75","1","50",0.143077787708067
"76","1","50",0.153887196370115
"77","1","50",0.192776213960617
"78","1","50",0.176698313154138
"79","1","50",0.154538236341689
"80","1","50",0.15614941367604
"81","1","50",0.156316246976232
"82","1","50",0.154531491619998
"83","1","50",0.168453991125172
"84","1","50",0.145186452036846
"85","1","50",0.144923569298344
"86","1","50",0.156311739085705
"87","1","50",0.169236825248521
"88","1","50",0.172375673609953
"89","1","50",0.153277767311146
"90","1","50",0.171729388514229
"91","1","50",0.148140458398906
"92","1","50",0.162265565172555
"93","1","50",0.155128809832729
