"simulation","cohort","N","Prob","ind"
"1","1","50",0.911154801855482,0
"2","1","50",0.892086520844066,0
"3","1","50",0.908031330077571,0
"4","1","50",0.872560689488554,0
"5","1","50",0.722626097013975,0
"6","1","50",0.778238949589737,0
"7","1","50",0.874047749807698,0
"8","1","50",0.993000889554914,1
"9","1","50",0.765987453848325,0
"10","1","50",0.901630010072833,0
"11","1","50",0.684071950509632,0
"12","1","50",0.898270253726401,0
"13","1","50",0.931607350750256,0
"14","1","50",0.99906380273222,1
"15","1","50",0.969094476999199,0
"16","1","50",0.984502647064689,1
"17","1","50",0.828909635477921,0
"18","1","50",0.897715727676568,0
"19","1","50",0.979312491984812,1
"20","1","50",0.734946894166366,0
"21","1","50",0.901139565999173,0
"22","1","50",0.99960278542134,1
"23","1","50",0.951821588757722,0
"24","1","50",0.703717282820929,0
"25","1","50",0.922025154228697,0
"26","1","50",0.669992055402642,0
"27","1","50",0.678980615339681,0
"28","1","50",0.910083674707256,0
"29","1","50",0.997715884048476,1
"30","1","50",0.997883470040886,1
"31","1","50",0.930717919946809,0
"32","1","50",0.82872866827681,0
"33","1","50",0.723066031535699,0
"34","1","50",0.988005799995193,1
"35","1","50",0.915586253273806,0
"36","1","50",0.615264066098484,0
"37","1","50",0.869471883934384,0
"38","1","50",0.8282574740321,0
"39","1","50",0.781641776870431,0
"40","1","50",0.987034283403862,1
"41","1","50",0.995713911893452,1
"42","1","50",0.997526286007252,1
"43","1","50",0.631196395038369,0
"44","1","50",0.775593656820861,0
"45","1","50",0.811500862559764,0
"46","1","50",0.801484323175105,0
"47","1","50",0.984242465215123,1
"48","1","50",0.973395682670545,0
"49","1","50",0.809735811274868,0
"50","1","50",0.744028655147263,0
"51","1","50",0.640504489435992,0
"52","1","50",0.963337035956202,0
"53","1","50",0.707544762336616,0
"54","1","50",0.997698156214177,1
"55","1","50",0.812908730924398,0
"56","1","50",0.987308385714274,1
"57","1","50",0.560057215688144,0
"58","1","50",0.980526825175245,1
"59","1","50",0.99361495841066,1
"60","1","50",0.980941911873256,1
"61","1","50",0.554979350185263,0
"62","1","50",0.99991736987512,1
"63","1","50",0.985707975872663,1
"64","1","50",0.102351013605812,0
"65","1","50",0.92627296971621,0
"66","1","50",0.999602223746121,1
"67","1","50",0.724964966810364,0
"68","1","50",0.340217434005199,0
"69","1","50",0.995398922037918,1
"70","1","50",0.976997748040984,1
"71","1","50",0.937607332660454,0
"72","1","50",0.665472971145912,0
"73","1","50",0.960443979098347,0
"74","1","50",0.905997375518069,0
"75","1","50",0.927611815499648,0
"76","1","50",0.99337818022477,1
"77","1","50",0.261351713589491,0
"78","1","50",0.0472416734106488,0
"79","1","50",0.818743123830648,0
"80","1","50",0.909685011387657,0
"81","1","50",0.657087981165977,0
"82","1","50",0.867866477616263,0
"83","1","50",0.647733985946771,0
"84","1","50",0.921730986342766,0
"85","1","50",0.982659059272899,1
"86","1","50",0.598984701397756,0
"87","1","50",0.605015957585413,0
"88","1","50",0.5490531952941,0
"89","1","50",0.803657225636831,0
"90","1","50",0.605469972198488,0
"91","1","50",0.946442928919458,0
"92","1","50",0.684660317168559,0
"93","1","50",0.975893508277466,1
"94","1","50",0.789609748931611,0
"95","1","50",0.904343501574376,0
"96","1","50",0.591922469993331,0
"97","1","50",0.858424071219672,0
"98","1","50",0.970418294838446,0
"99","1","50",0.623390415468632,0
