"simulation","cohort","N","Sd"
"1","1","50",0.224318543442864
"2","1","50",0.221061989386392
"3","1","50",0.218681656929823
"4","1","50",0.228455417118331
"5","1","50",0.236970299864368
"6","1","50",0.226675994962387
"7","1","50",0.222878834109475
"8","1","50",0.23070059582193
"9","1","50",0.235692292100256
"10","1","50",0.222205938204738
"11","1","50",0.236260317245282
"12","1","50",0.227265450769045
"13","1","50",0.213498307626375
"14","1","50",0.224946882917504
"15","1","50",0.222251416759652
"16","1","50",0.227867746273767
"17","1","50",0.231863312115003
"18","1","50",0.220047673621078
"19","1","50",0.227061509725667
"20","1","50",0.221721704208349
"21","1","50",0.237620349529459
"22","1","50",0.221035432614571
"23","1","50",0.218417096709007
"24","1","50",0.221437927231557
"25","1","50",0.221163063791671
"26","1","50",0.224047974096635
"27","1","50",0.223993829009671
"28","1","50",0.236635164070693
"29","1","50",0.225277225351234
"30","1","50",0.235489707838921
"31","1","50",0.23295254228477
"32","1","50",0.234288647236917
"33","1","50",0.225279395635923
"34","1","50",0.2285385015446
"35","1","50",0.229242535342006
"36","1","50",0.242493588210166
"37","1","50",0.225591415326535
"38","1","50",0.228339605806681
"39","1","50",0.221602635292982
"40","1","50",0.224428620087236
"41","1","50",0.223069536556916
"42","1","50",0.233991599330793
"43","1","50",0.227407509656675
"44","1","50",0.234422321165176
"45","1","50",0.227930844790282
"46","1","50",0.226143373478868
"47","1","50",0.225536393948399
"48","1","50",0.237857244935661
"49","1","50",0.223964710947448
"50","1","50",0.229593277339633
"51","1","50",0.230388931070613
"52","1","50",0.228482952409358
"53","1","50",0.237641803380873
"54","1","50",0.222917320046933
"55","1","50",0.227937771379402
"56","1","50",0.232122328364637
"57","1","50",0.229666041621804
"58","1","50",0.234724091586434
"59","1","50",0.228061387339186
"60","1","50",0.236815501934005
"61","1","50",0.224195382171629
"62","1","50",0.233157533183629
"63","1","50",0.223976187915902
"64","1","50",0.225137444960697
"65","1","50",0.224127909572272
"66","1","50",0.226381610724018
"67","1","50",0.232728573784553
"68","1","50",0.220083602990964
"69","1","50",0.224060173596531
"70","1","50",0.223857215757237
"71","1","50",0.226975266452645
"72","1","50",0.229805191894005
"73","1","50",0.232820135279784
"74","1","50",0.220353516755272
"75","1","50",0.234145381426201
"76","1","50",0.214900505732446
"77","1","50",0.22401828239119
"78","1","50",0.226005913433711
"79","1","50",0.22184175918589
"80","1","50",0.225663082902664
"81","1","50",0.221989365651803
"82","1","50",0.239787321856813
"83","1","50",0.228741408101891
"84","1","50",0.22846605930469
"85","1","50",0.227265081692005
"86","1","50",0.222146092959257
"87","1","50",0.223817413744029
"88","1","50",0.223915153533859
"89","1","50",0.222584140324956
"90","1","50",0.217249808883497
"91","1","50",0.225549133758247
"92","1","50",0.237801617915903
"93","1","50",0.225150833317765
"94","1","50",0.228658372049444
"95","1","50",0.240249547981422
"96","1","50",0.231382924911514
"97","1","50",0.226229217404237
"98","1","50",0.222744893626971
"99","1","50",0.225329650470545
"100","1","50",0.225656557034864
"101","1","50",0.224663157623788
"102","1","50",0.221445318301989
"103","1","50",0.233228864762837
"104","1","50",0.230216603587742
"105","1","50",0.222546701690879
"106","1","50",0.223863929581492
"107","1","50",0.230420895851819
"108","1","50",0.239093994356566
"109","1","50",0.223894715366547
"110","1","50",0.226893338749715
"111","1","50",0.230503374904294
"112","1","50",0.225438295282018
"113","1","50",0.226166770857459
"114","1","50",0.237021462444916
"115","1","50",0.239621176631897
"116","1","50",0.222455626634064
"117","1","50",0.226023595975103
"118","1","50",0.21991009139862
"119","1","50",0.234308924439186
"120","1","50",0.234823991156675
"121","1","50",0.240626659501255
"122","1","50",0.222830259651182
"123","1","50",0.23641283464266
"124","1","50",0.226553015343138
"125","1","50",0.224029784314131
"126","1","50",0.223810903763794
"127","1","50",0.219901066307724
"128","1","50",0.223847754484319
"129","1","50",0.221033077488241
"130","1","50",0.228692306782841
"131","1","50",0.222116486438369
"132","1","50",0.222631175177402
"133","1","50",0.24167862495503
"134","1","50",0.219826396459904
"135","1","50",0.228461984259441
"136","1","50",0.224000792958162
"137","1","50",0.226865974428216
"138","1","50",0.231161537612971
"139","1","50",0.239387924305272
"140","1","50",0.228611328317394
"141","1","50",0.241792642442424
"142","1","50",0.220639146802729
"143","1","50",0.229677039676472
"144","1","50",0.212365481192641
"145","1","50",0.232781615395297
"146","1","50",0.228601201723775
"147","1","50",0.218425214897266
"148","1","50",0.220231332318745
"149","1","50",0.234772049539438
"150","1","50",0.23775748385705
"151","1","50",0.224135009690623
"152","1","50",0.223676738964967
"153","1","50",0.228405443675174
"154","1","50",0.222866726387892
"155","1","50",0.222371942144267
"156","1","50",0.231308743807957
"157","1","50",0.23124682492229
"158","1","50",0.226773107143004
"159","1","50",0.22679753439625
"160","1","50",0.227663830955556
"161","1","50",0.221898910531648
"162","1","50",0.223888120717616
"163","1","50",0.224267973347965
"164","1","50",0.236830529197704
"165","1","50",0.242080635736799
"166","1","50",0.224223411563772
"167","1","50",0.221277652326469
"168","1","50",0.223841555707191
"169","1","50",0.229849447477196
"170","1","50",0.233951179161056
"171","1","50",0.230198289903748
"172","1","50",0.227535064434476
"173","1","50",0.219750400854386
"174","1","50",0.236459726832751
"175","1","50",0.225551216807412
"176","1","50",0.229135591498688
"177","1","50",0.225158105470299
"178","1","50",0.224186653859927
"179","1","50",0.217581576117721
"180","1","50",0.23444031186537
"181","1","50",0.231241138349307
"182","1","50",0.226552961782813
"183","1","50",0.223709156334369
"184","1","50",0.247955967755264
"185","1","50",0.225759926830958
"186","1","50",0.230060126820839
"187","1","50",0.223004224708832
"188","1","50",0.227661314356544
"189","1","50",0.234450450230492
"190","1","50",0.224022946712414
"191","1","50",0.225489599562317
"192","1","50",0.225350677775764
"193","1","50",0.23532120860739
"194","1","50",0.217679190041831
"195","1","50",0.234953363241817
"196","1","50",0.226808226160475
"197","1","50",0.220639829875463
"198","1","50",0.229679985406722
"199","1","50",0.220038240067503
"200","1","50",0.219954820433157
"201","1","50",0.229986702893231
"202","1","50",0.218582367769909
"203","1","50",0.225446167048365
"204","1","50",0.22218685748832
"205","1","50",0.236215075929018
"206","1","50",0.221471817674927
"207","1","50",0.221163699673869
"208","1","50",0.235831313929004
"209","1","50",0.230948161264332
"210","1","50",0.219830139993197
"211","1","50",0.22846639668082
"212","1","50",0.223841396334371
"213","1","50",0.232821801114987
"214","1","50",0.243434704166274
"215","1","50",0.218660552229885
"216","1","50",0.22121643443244
"217","1","50",0.235838109517408
"218","1","50",0.229537481552073
"219","1","50",0.232540703738709
