"simulation","N","N.1"
"1","50",285.177330152632
"2","50",282.864018889263
"3","50",273.24103359505
"4","50",241.293681289554
"5","50",242.063698721786
"6","50",274.319117235944
"7","50",282.451519056609
"8","50",311.616394384679
"9","50",290.283193278413
"10","50",322.485175919047
"11","50",278.684450607514
"12","50",206.287940542765
"13","50",247.685515840009
"14","50",329.706025645009
"15","50",321.001755406001
"16","50",325.294015314229
"17","50",292.149995009878
"18","50",311.424941853826
"19","50",311.709142334382
"20","50",302.635203057171
"21","50",206.764541447481
"22","50",307.528534278281
"23","50",277.209571796643
"24","50",208.827918675262
"25","50",298.198902662862
"26","50",295.689888461983
"27","50",277.638427838692
"28","50",289.641638020027
"29","50",319.876245336894
"30","50",270.507576607304
"31","50",262.066319422846
"32","50",271.045520257599
"33","50",173.008411301426
"34","50",297.398543763707
"35","50",266.812617988585
"36","50",290.282632071248
"37","50",271.280654070316
"38","50",235.254058021958
"39","50",268.729952641133
"40","50",263.229543150886
"41","50",329.997531036081
"42","50",268.293758402199
"43","50",248.57635947044
"44","50",230.485265060963
"45","50",308.185196583128
"46","50",289.636162404566
"47","50",313.570657590117
"48","50",238.754987256996
"49","50",199.999952639716
"50","50",224.932110511618
"51","50",177.420266980224
"52","50",284.440653894281
"53","50",222.142790938792
"54","50",331.461572756102
"55","50",319.001270435905
"56","50",255.830118081786
"57","50",212.775698976371
"58","50",310.224309280191
"59","50",331.220753581279
"60","50",317.825212742536
"61","50",292.956135835786
"62","50",335.982132328897
"63","50",319.623419986631
"64","50",227.632975130521
"65","50",313.73395173172
"66","50",319.787560502509
"67","50",168.755318951643
"68","50",177.674609143407
"69","50",330.072494607383
"70","50",301.773169930063
"71","50",293.508370748645
"72","50",289.266114567883
"73","50",309.838638447332
"74","50",292.967196058692
"75","50",321.318041564816
"76","50",327.678863777519
"77","50",178.382878454517
"78","50",191.980426748951
"79","50",277.18380090725
"80","50",312.877037648057
"81","50",166.153900735786
"82","50",275.754253004086
"83","50",218.880292751261
"84","50",292.853804371456
"85","50",293.182212634378
"86","50",282.60709981421
"87","50",311.464439194623
"88","50",248.044029973052
"89","50",313.660539002913
"90","50",154.970489568383
"91","50",293.292608517187
"92","50",271.4715337064
"93","50",229.737239850042
"94","50",202.03753156753
"95","50",240.173380287102
"96","50",201.164735018768
"97","50",283.031343614382
"98","50",282.013424896014
"99","50",238.72954843313
"100","50",240.360745141649
"101","50",297.476418953516
"102","50",308.713235915577
"103","50",260.898324303335
"104","50",292.731747365411
"105","50",258.723161727007
"106","50",276.639024286497
"107","50",310.481989386717
"108","50",294.467908992452
"109","50",259.844137392288
"110","50",286.241130248368
"111","50",283.324640624866
"112","50",244.885078704898
"113","50",260.62209237696
"114","50",317.179685607183
"115","50",294.058608186812
"116","50",317.050777874558
"117","50",209.58518077663
"118","50",289.249925697334
"119","50",241.545365552875
"120","50",259.73349007271
"121","50",254.697978127424
"122","50",212.894118978842
"123","50",323.520021856147
"124","50",263.811788185499
"125","50",182.297000374274
"126","50",307.275626458839
"127","50",293.184381233885
"128","50",291.152539916196
"129","50",155.087664350895
"130","50",305.33156612152
"131","50",177.567535292195
"132","50",242.328959186642
"133","50",267.485731283494
"134","50",313.227638067495
"135","50",337.735244441307
"136","50",303.89417501165
"137","50",267.430194627686
"138","50",304.069973596336
"139","50",269.362149651165
"140","50",292.644738741952
"141","50",280.696298224697
"142","50",322.718258979213
"143","50",244.99219594563
"144","50",250.569510281423
"145","50",273.590534508279
"146","50",308.564127912206
"147","50",264.432629276464
"148","50",220.121595686561
"149","50",315.259221552079
"150","50",309.905800370133
"151","50",298.629137972438
"152","50",291.756200083318
"153","50",257.540785961546
"154","50",279.385510194038
"155","50",304.503776040628
"156","50",300.828770568226
"157","50",320.9445643566
