"simulation","model","N","percentage"
"1","1","50",0.216892513228655
"2","1","50",0.255695609451086
"3","1","50",0.198051390595156
"4","1","50",0.0689905655911457
"5","1","50",0.0721101114589889
"6","1","50",0.271894609283748
"7","1","50",0.242714865319231
"8","1","50",0.338440230387382
"9","1","50",0.282860725070524
"10","1","50",0.41402922743973
"11","1","50",0.219043469772901
"12","1","50",0.0972159491134076
"13","1","50",0.0590272942324282
"14","1","50",0.457204346607034
"15","1","50",0.407009847202293
"16","1","50",0.444306761486145
"17","1","50",0.251948369416259
"18","1","50",0.385082746978862
"19","1","50",0.350260477686309
"20","1","50",0.329153604590755
"21","1","50",0.08933696551589
"22","1","50",0.309511754614657
"23","1","50",0.194820095768198
"24","1","50",0.0115896102606365
"25","1","50",0.314703029456212
"26","1","50",0.294545266360998
"27","1","50",0.236015154289671
"28","1","50",0.225250877427608
"29","1","50",0.390428303927117
"30","1","50",0.13022155632604
"31","1","50",0.114953158561072
"32","1","50",0.265179093997373
"33","1","50",0.0408634943237604
"34","1","50",0.274564647187798
"35","1","50",0.231767806159901
"36","1","50",0.323173897050936
"37","1","50",0.225383447416796
"38","1","50",0.140090304740546
"39","1","50",0.256063643516379
"40","1","50",0.128846342074479
"41","1","50",0.456999573416811
"42","1","50",0.0459845018127498
"43","1","50",0.0720441085209927
"44","1","50",0.0595313705202583
"45","1","50",0.359075711228173
"46","1","50",0.263186242822232
"47","1","50",0.3654215052263
"48","1","50",0.0152833711069166
"49","1","50",0.00675981411530771
"50","1","50",0.0203511601872782
"51","1","50",0.100143077336419
"52","1","50",0.201071421392956
"53","1","50",0.0160582816295069
"54","1","50",0.463890554759818
"55","1","50",0.395830753514716
"56","1","50",0.0453003682464645
"57","1","50",0.022230865345634
"58","1","50",0.345398666999062
"59","1","50",0.477127214219189
"60","1","50",0.397324885818108
"61","1","50",0.291727884413531
"62","1","50",0.489348715789945
"63","1","50",0.398168251999986
"64","1","50",0.162275930044795
"65","1","50",0.367697576125719
"66","1","50",0.391368331434768
"67","1","50",0.0322848462677881
"68","1","50",0.0131740120109092
"69","1","50",0.455749042347007
"70","1","50",0.302980659573947
"71","1","50",0.294134711517862
"72","1","50",0.292718897570685
"73","1","50",0.344131492005702
"74","1","50",0.259640816334357
"75","1","50",0.406828218227447
