"simulation","cohort","N","Mean"
"1","1","50",-0.357429942943821
"2","1","50",-0.376569418965573
"3","1","50",-0.326009669928365
"4","1","50",-0.258003636747948
"5","1","50",-0.137641707974348
"6","1","50",-0.275713024062956
"7","1","50",-0.34572021717899
"8","1","50",-0.597513918082586
"9","1","50",-0.274590756413994
"10","1","50",-0.367434293380029
"11","1","50",-0.242094594058415
"12","1","50",-0.203730915934506
"13","1","50",-0.297575431780587
"14","1","50",-0.657105258662483
"15","1","50",-0.432933535325628
"16","1","50",-0.59845233992063
"17","1","50",-0.353976977484089
"18","1","50",-0.412611480499613
"19","1","50",-0.510070034079434
"20","1","50",-0.267405182680115
"21","1","50",-0.341388562846448
"22","1","50",-0.703932611407928
"23","1","50",-0.360623606551143
"24","1","50",-0.121265850332365
"25","1","50",-0.361902495600566
"26","1","50",-0.305946998932307
"27","1","50",-0.284585602620527
"28","1","50",-0.397877660987181
"29","1","50",-0.654115574542579
"30","1","50",-0.559194362021666
"31","1","50",-0.368780850458038
"32","1","50",-0.237553224841352
"33","1","50",-0.0793106532564204
"34","1","50",-0.51882254384245
"35","1","50",-0.369177558810406
"36","1","50",-0.319526968005021
"37","1","50",-0.317313907325768
"38","1","50",-0.192809644206113
"39","1","50",-0.421199241331403
"40","1","50",-0.501526743333722
"41","1","50",-0.540550340358516
"42","1","50",-0.769064169146432
"43","1","50",-0.249927543314223
"44","1","50",-0.202349140580267
"45","1","50",-0.325050252940777
"46","1","50",-0.264820773179093
"47","1","50",-0.515130829144632
"48","1","50",-0.353919436895243
"49","1","50",-0.107038486745882
"50","1","50",-0.170919070179004
"51","1","50",-0.00667055864646415
"52","1","50",-0.568975596362565
"53","1","50",-0.169041989903159
"54","1","50",-0.579284302502014
"55","1","50",-0.336397842060754
"56","1","50",-0.489758878041888
"57","1","50",0.00510117296670336
"58","1","50",-0.501044029183954
"59","1","50",-0.649992361389601
"60","1","50",-0.552873036454471
"61","1","50",-0.183780250506812
"62","1","50",-0.781682475014031
"63","1","50",-0.468066881822852
"64","1","50",0.0734629571859002
"65","1","50",-0.387371207839236
"66","1","50",-0.689413098288317
"67","1","50",0.0344163678268777
"68","1","50",0.149402904979156
"69","1","50",-0.551644691879965
"70","1","50",-0.430563031452078
"71","1","50",-0.3993391554173
"72","1","50",-0.252236009038645
"73","1","50",-0.452924509568677
"74","1","50",-0.343316933609034
"75","1","50",-0.329075176105764
"76","1","50",-0.710073734093311
"77","1","50",0.189120699196967
"78","1","50",0.337422398983822
"79","1","50",-0.306675026188162
"80","1","50",-0.385133583463449
"81","1","50",0.0864002226520207
"82","1","50",-0.346130510746265
"83","1","50",-0.0941327808882067
"84","1","50",-0.331082508534674
"85","1","50",-0.44234327165511
"86","1","50",-0.195284818548584
"87","1","50",-0.18467516335765
"88","1","50",-0.154257348064663
"89","1","50",-0.273360591093017
"90","1","50",0.0546165235598386
"91","1","50",-0.371246550753349
"92","1","50",-0.255246897756537
"93","1","50",-0.481055660908836
"94","1","50",-0.217703304116038
"95","1","50",-0.321925036617405
"96","1","50",-0.060401936585481
"97","1","50",-0.30820137851738
"98","1","50",-0.418318162470566
"99","1","50",-0.0950583401658942
"100","1","50",-0.25835329765303
"101","1","50",-0.144879265304895
