"simulation","cohort","N","Sd"
"1","1","50",0.156426278162226
"2","1","50",0.144268738800288
"3","1","50",0.157745878089747
"4","1","50",0.160689486072808
"5","1","50",0.155264982481914
"6","1","50",0.132955224475407
"7","1","50",0.156738431731637
"8","1","50",0.135820120113998
"9","1","50",0.137938769078327
"10","1","50",0.131417637884889
"11","1","50",0.140578709568066
"12","1","50",0.240745175778119
"13","1","50",0.157293118411498
"14","1","50",0.129171660653787
"15","1","50",0.136318680034809
"16","1","50",0.135667284821846
"17","1","50",0.135210007367063
"18","1","50",0.135561806432682
"19","1","50",0.133253146722531
"20","1","50",0.13239721587956
"21","1","50",0.248058330959992
"22","1","50",0.137827630857765
"23","1","50",0.143137602619876
"24","1","50",0.176653703184633
"25","1","50",0.135811249318566
"26","1","50",0.139477872989151
"27","1","50",0.137692253786622
"28","1","50",0.151356582469827
"29","1","50",0.135652231695956
"30","1","50",0.158032167963126
"31","1","50",0.157226404161632
"32","1","50",0.139424965738987
"33","1","50",0.231198569128954
"34","1","50",0.141344400869772
"35","1","50",0.145776159860189
"36","1","50",0.138459413681373
"37","1","50",0.142654056387685
"38","1","50",0.164836215074519
"39","1","50",0.146169268113888
"40","1","50",0.16004159695027
"41","1","50",0.13042097361423
"42","1","50",0.156318207749287
"43","1","50",0.151861452232239
"44","1","50",0.159354903102417
"45","1","50",0.133737017720971
"46","1","50",0.136757464140819
"47","1","50",0.134532261561168
"48","1","50",0.158934732323364
"49","1","50",0.19150273563209
"50","1","50",0.182406282355008
"51","1","50",0.236957194295046
"52","1","50",0.150580455807817
"53","1","50",0.158692588249664
"54","1","50",0.129576472945703
"55","1","50",0.13254377855489
"56","1","50",0.153257963923996
"57","1","50",0.182759628043191
"58","1","50",0.135297984159395
"59","1","50",0.134502254883668
"60","1","50",0.13220825560194
"61","1","50",0.137193072094529
"62","1","50",0.136236406476745
"63","1","50",0.133619264479354
"64","1","50",0.233581185150712
"65","1","50",0.134966865576454
"66","1","50",0.137956515545308
"67","1","50",0.233105162172001
"68","1","50",0.182863928613294
"69","1","50",0.129826299027623
"70","1","50",0.138147963806456
"71","1","50",0.143098703563207
"72","1","50",0.132841580571947
"73","1","50",0.137978600944816
"74","1","50",0.139015444046956
"75","1","50",0.127826931283215
"76","1","50",0.132750221794025
"77","1","50",0.184899849332317
"78","1","50",0.240886373712026
"79","1","50",0.159561576831942
"80","1","50",0.13535887098854
"81","1","50",0.189205213756861
"82","1","50",0.139372562879266
"83","1","50",0.19039286646865
"84","1","50",0.147877285142061
"85","1","50",0.134200192851352
"86","1","50",0.13686426292748
"87","1","50",0.131904849072167
"88","1","50",0.163348777833799
"89","1","50",0.136688191119513
"90","1","50",0.236373998587008
"91","1","50",0.13931532198302
"92","1","50",0.154128223052928
"93","1","50",0.185966958916448
"94","1","50",0.192531722168814
"95","1","50",0.181351717919146
"96","1","50",0.189721819297732
"97","1","50",0.14039343668394
"98","1","50",0.157648216076472
"99","1","50",0.160575997088711
"100","1","50",0.156425359726055
"101","1","50",0.137275987883936
"102","1","50",0.142514959303666
"103","1","50",0.159623511283888
"104","1","50",0.142932127817284
"105","1","50",0.15309939575909
"106","1","50",0.148498004270786
"107","1","50",0.138056493678495
"108","1","50",0.132299443771945
"109","1","50",0.152365060935618
"110","1","50",0.139523108563579
"111","1","50",0.137504703419174
"112","1","50",0.156460000089597
"113","1","50",0.15711336394699
"114","1","50",0.13552289278761
"115","1","50",0.136213611831534
"116","1","50",0.135460851487012
"117","1","50",0.197597499836112
"118","1","50",0.131580958608585
"119","1","50",0.155339769670296
"120","1","50",0.196990418764893
"121","1","50",0.155675061284877
"122","1","50",0.25087405936521
"123","1","50",0.135477494257444
"124","1","50",0.151126671205283
"125","1","50",0.240752579669605
"126","1","50",0.132973757120358
"127","1","50",0.134564214108858
"128","1","50",0.156623032455133
"129","1","50",0.245343382518495
"130","1","50",0.137721612144405
"131","1","50",0.198288331698607
"132","1","50",0.18490932907024
"133","1","50",0.162063188766033
"134","1","50",0.134521053970314
"135","1","50",0.13256477027838
"136","1","50",0.133424837373782
"137","1","50",0.154453259573656
"138","1","50",0.133757973420893
"139","1","50",0.149483180709579
"140","1","50",0.142607132319069
"141","1","50",0.155435217708893
"142","1","50",0.137808081705129
"143","1","50",0.166658461292181
"144","1","50",0.149425445652895
"145","1","50",0.150459594854973
"146","1","50",0.140146686278699
"147","1","50",0.159195927899743
"148","1","50",0.157433602100885
"149","1","50",0.1326896956719
"150","1","50",0.133032852410739
"151","1","50",0.133728515477292
"152","1","50",0.138320394982483
"153","1","50",0.158668100459433
"154","1","50",0.154473625320955
"155","1","50",0.137370317446361
"156","1","50",0.135738998083329
"157","1","50",0.131487927535754
"158","1","50",0.156747295662197
"159","1","50",0.134488689017099
"160","1","50",0.13552113768165
"161","1","50",0.133245690094711
"162","1","50",0.150548396703938
