"N","mean","bias","mse","prob","cover","model"
50,-0.212047689165757,0.0110958621484525,0.0457387803352671,0.124,0.96,"Laplace-Empirical"
100,-0.231151238952175,-0.00800768763796579,0.0275943380811345,0.29,0.96,"Laplace-Empirical"
150,-0.246934487384881,-0.0237909360706714,0.0206645114052657,0.458,0.934,"Laplace-Empirical"
200,-0.235468598109753,-0.0123250467955437,0.013701250794265,0.512,0.944,"Laplace-Empirical"
250,-0.247588919111735,-0.0244453677975257,0.0123145512890793,0.624,0.944,"Laplace-Empirical"
300,-0.247477255422662,-0.0243337041084521,0.00888135820587328,0.706,0.956,"Laplace-Empirical"
350,-0.239553084866362,-0.0164095335521523,0.00969851070406376,0.726,0.922,"Laplace-Empirical"
400,-0.235912689657025,-0.0127691383428154,0.00796561631592919,0.748,0.936,"Laplace-Empirical"
450,-0.245785671641842,-0.0226421203276322,0.00625330374321656,0.858,0.952,"Laplace-Empirical"
500,-0.241640238961603,-0.0184966876473935,0.00616789457374462,0.87,0.944,"Laplace-Empirical"
