"N","mean","bias","mse","prob","cover","model"
50,-0.216498598048953,0.00664495326525665,0.0221514788160304,0.206,0.974,"Laplace-Uniform"
100,-0.223174163975379,-3.06126611697212e-05,0.0120967022338513,0.44,0.976,"Laplace-Uniform"
150,-0.234163826885714,-0.011020275571504,0.00689049733885384,0.69,0.982,"Laplace-Uniform"
200,-0.226796729310243,-0.00365317799603316,0.00479568603669211,0.79,0.984,"Laplace-Uniform"
250,-0.230496722627903,-0.0073531713136935,0.00475019501263931,0.888,0.964,"Laplace-Uniform"
300,-0.229185234786254,-0.00604168347204393,0.00329143307943454,0.942,0.974,"Laplace-Uniform"
350,-0.228991567582046,-0.0058480162678361,0.00317195084339077,0.948,0.96,"Laplace-Uniform"
400,-0.224732735961023,-0.00158918464681291,0.00246654088204272,0.97,0.982,"Laplace-Uniform"
450,-0.228163037027284,-0.00501948571307386,0.00192044402765263,0.992,0.984,"Laplace-Uniform"
500,-0.228076261199851,-0.00493270988564151,0.00189594810278669,0.984,0.968,"Laplace-Uniform"
