"simulation","cohort","N","CI_value.LowBound","CI_value.UpBound"
"1","1","50",-0.312108610189357,0.313037348581198
"2","1","50",-0.380042683072398,0.608131545790041
"3","1","50",-0.326581252008916,0.349878103602693
"4","1","50",-0.324606745241693,0.536734834654203
"5","1","50",-0.13882123643414,0.472223043684647
"6","1","50",-0.220216424671723,0.551384609985298
"7","1","50",-0.361313200345209,0.494441073042473
"8","1","50",-0.541068378681564,0.232379813834273
"9","1","50",-0.278642478087619,0.437877403268412
"10","1","50",-0.506340846218121,0.32019235935489
"11","1","50",-0.162106036282322,0.59777839045115
"12","1","50",-0.367040955383233,0.391904079056616
"13","1","50",-0.284529718468175,0.372284517860055
"14","1","50",-0.531112301871239,0.105048306143106
"15","1","50",-0.773552076583634,0.203389490464929
"16","1","50",-0.574518784836199,0.17073683302301
"17","1","50",-0.224839107430299,0.405920576799034
"18","1","50",-0.322925981037385,0.439056169679504
"19","1","50",-0.479914505233754,0.215878855722736
"20","1","50",-0.165750504320293,0.587207794702336
"21","1","50",-0.53102122158862,0.519082681145382
"22","1","50",-0.605313894299538,0.107480590287743
"23","1","50",-0.357989939679892,0.246535854714173
"24","1","50",-0.371356777697076,0.686505272333968
"25","1","50",-0.314426041501428,0.338205142921665
"26","1","50",-0.273802899879344,0.575266009052432
"27","1","50",-0.194643427018378,0.626797800642813
"28","1","50",-0.348110670328312,0.338290565873771
"29","1","50",-0.712268432897879,0.0238001912632253
"30","1","50",-0.624208876436773,0.0867053310633379
"31","1","50",-0.277649086125086,0.347416491116029
"32","1","50",-0.261343961038582,0.486319235344076
"33","1","50",-0.334499520661902,0.614250559846143
"34","1","50",-0.510885394885546,0.172712258293994
"35","1","50",-0.421300932819369,0.305666238342244
"36","1","50",-0.263417782426451,0.526704607823297
"37","1","50",-0.254386962132001,0.463824011665493
"38","1","50",-0.310584131056541,0.562295259649394
"39","1","50",-0.422023440507356,0.477374186295713
"40","1","50",-0.492791340028225,0.180643784257874
"41","1","50",-0.508566636093206,0.187303196530557
"42","1","50",-1.00340830367481,-0.130549023209832
"43","1","50",-0.107439094905218,0.539046213614982
"44","1","50",-0.286054715841155,0.452216912469218
"45","1","50",-0.183315993679133,0.572230659576564
"46","1","50",-0.31706092129538,0.567932800686354
"47","1","50",-0.77123035524676,0.311468853021177
"48","1","50",-0.524144289401616,0.284284427776664
"49","1","50",-0.294275026943357,0.424244320347399
"50","1","50",-0.19931327629702,0.549180521111601
"51","1","50",-0.10129607283166,0.705423941357061
"52","1","50",-0.744668126169771,0.269034025973691
"53","1","50",-0.288914294520151,0.443017767955538
"54","1","50",-0.650614837316204,0.152295744304355
