"simulation","cohort","N","Sd"
"1","1","50",0.153146856390004
"2","1","50",0.15843595060283
"3","1","50",0.148415100910941
"4","1","50",0.154090791744434
"5","1","50",0.146932068220462
"6","1","50",0.14793398191233
"7","1","50",0.149572384773122
"8","1","50",0.1575776868207
"9","1","50",0.154199881855558
"10","1","50",0.151314255650972
"11","1","50",0.150547024308382
"12","1","50",0.15900773290705
"13","1","50",0.152195752002898
"14","1","50",0.140360219781544
"15","1","50",0.158176193476044
"16","1","50",0.153923496842288
"17","1","50",0.148913703760946
"18","1","50",0.151396418947564
"19","1","50",0.148745185656907
"20","1","50",0.150939093305903
"21","1","50",0.166148088229904
"22","1","50",0.150941927408324
"23","1","50",0.150816567329384
"24","1","50",0.159093985099082
"25","1","50",0.147550473626826
"26","1","50",0.164422529273422
"27","1","50",0.156389060185112
"28","1","50",0.152574717281746
"29","1","50",0.151675078459309
"30","1","50",0.150604985368353
"31","1","50",0.153567852605992
"32","1","50",0.151560190983097
"33","1","50",0.166442669398546
"34","1","50",0.159766720343269
"35","1","50",0.155844140110085
"36","1","50",0.158912266193572
"37","1","50",0.153689716033218
"38","1","50",0.15803172233177
"39","1","50",0.168153717615216
"40","1","50",0.152239185469114
"41","1","50",0.143450861383102
"42","1","50",0.173494336316802
"43","1","50",0.158138500483375
"44","1","50",0.157360926460206
"45","1","50",0.151985712982551
"46","1","50",0.162580100078104
"47","1","50",0.168709418583856
"48","1","50",0.169233832723998
"49","1","50",0.16752525927732
"50","1","50",0.162482076601082
"51","1","50",0.15992267083498
"52","1","50",0.161010453255689
"53","1","50",0.162153616789869
"54","1","50",0.149007143753788
"55","1","50",0.156151439662664
"56","1","50",0.169426472273764
"57","1","50",0.172369415194377
"58","1","50",0.155142864728902
"59","1","50",0.151015557240469
"60","1","50",0.150670610105406
"61","1","50",0.147566207006234
"62","1","50",0.150612214646435
"63","1","50",0.157580045974514
"64","1","50",0.15701226451848
"65","1","50",0.14839192945465
"66","1","50",0.154247825350404
"67","1","50",0.16133422866183
"68","1","50",0.164301159906785
"69","1","50",0.145941536902022
"70","1","50",0.147913072738765
"71","1","50",0.153406678220876
"72","1","50",0.150785937144371
"73","1","50",0.1565876921076
"74","1","50",0.153557586240246
"75","1","50",0.143354208665
"76","1","50",0.148907923349336
"77","1","50",0.186488946649073
"78","1","50",0.166796407002262
"79","1","50",0.153846827324741
"80","1","50",0.157443788868035
"81","1","50",0.15958881931053
"82","1","50",0.15044407386668
"83","1","50",0.165664120506825
"84","1","50",0.14922642626131
"85","1","50",0.145336846925067
"86","1","50",0.153321773675765
"87","1","50",0.166986091406932
"88","1","50",0.168764788727451
"89","1","50",0.15203777008455
"90","1","50",0.168223729539238
"91","1","50",0.15320272535523
"92","1","50",0.157353587340568
"93","1","50",0.161947283111052
"94","1","50",0.180333191790724
"95","1","50",0.159117183195081
"96","1","50",0.156302137739903
"97","1","50",0.152493451882767
"98","1","50",0.15601034170133
"99","1","50",0.154576774803377
"100","1","50",0.156161261738979
"101","1","50",0.146191343859386
"102","1","50",0.155484147622173
"103","1","50",0.160512807178184
"104","1","50",0.156497538394035
"105","1","50",0.147587786965854
"106","1","50",0.158195698715035
"107","1","50",0.148781785443635
"108","1","50",0.142985044566617
"109","1","50",0.1473231472911
"110","1","50",0.159407866501819
"111","1","50",0.149881632031059
"112","1","50",0.168338722226138
"113","1","50",0.161342231938062
"114","1","50",0.161536448511273
"115","1","50",0.148009345550468
"116","1","50",0.150409208693441
"117","1","50",0.170615989450572
"118","1","50",0.141074546833264
"119","1","50",0.15560035170827
"120","1","50",0.15163419381979
"121","1","50",0.15995150986691
"122","1","50",0.166191235454663
"123","1","50",0.161792286099607
"124","1","50",0.161851351818928
"125","1","50",0.174354933034427
"126","1","50",0.149570939029004
"127","1","50",0.159313644103532
"128","1","50",0.158968064099311
"129","1","50",0.188897486424332
"130","1","50",0.150973814964383
"131","1","50",0.176889604473187
"132","1","50",0.148709013320357
"133","1","50",0.153050415331666
"134","1","50",0.150662094778156
"135","1","50",0.152552851648615
"136","1","50",0.147753126521316
"137","1","50",0.154621482484626
"138","1","50",0.158432047319347
"139","1","50",0.151005514676131
"140","1","50",0.166203547389872
"141","1","50",0.165113089135063
"142","1","50",0.159458213757142
"143","1","50",0.171974700720118
"144","1","50",0.163158857011017
"145","1","50",0.148321681400831
"146","1","50",0.170087509397763
"147","1","50",0.15504258901458
"148","1","50",0.155878815502635
"149","1","50",0.148705149767649
"150","1","50",0.148703733792827
"151","1","50",0.144469780182901
"152","1","50",0.150559518400491
"153","1","50",0.156250675068811
"154","1","50",0.164568198202941
"155","1","50",0.183156089759339
"156","1","50",0.157926230135601
"157","1","50",0.149121572300165
"158","1","50",0.153674506585095
"159","1","50",0.148957819494879
"160","1","50",0.146596840984714
"161","1","50",0.149948270281702
"162","1","50",0.163936503560135
"163","1","50",0.160001009478573
"164","1","50",0.169577657444863
"165","1","50",0.156194795159844
"166","1","50",0.148010688637012
"167","1","50",0.173903280062001
"168","1","50",0.156954761428432
"169","1","50",0.152843202364383
"170","1","50",0.154416533309144
"171","1","50",0.143818506488832
"172","1","50",0.155532447739686
"173","1","50",0.152252317957083
"174","1","50",0.150590401871308
"175","1","50",0.14609328072866
"176","1","50",0.148819761710209
"177","1","50",0.166379949250037
"178","1","50",0.15277012718346
"179","1","50",0.142021738268984
"180","1","50",0.150564182936736
"181","1","50",0.180069611412793
"182","1","50",0.142828852220184
"183","1","50",0.151869055112955
