"simulation","model","N","percentage"
"1","1","50",0.269498355520708
"2","1","50",0.279447627508241
"3","1","50",0.344181737061276
"4","1","50",0.275776172973566
"5","1","50",0.286107377818453
"6","1","50",0.244516555480164
"7","1","50",0.323418303069038
"8","1","50",0.26419124752688
"9","1","50",0.239855841790063
"10","1","50",0.284630346735879
"11","1","50",0.313814780554946
"12","1","50",0.250415876847017
"13","1","50",0.268000974632727
"14","1","50",0.426459497204376
"15","1","50",0.300707975508993
"16","1","50",0.312222339187587
"17","1","50",0.31241026946477
"18","1","50",0.300732759442363
"19","1","50",0.336692381041852
"20","1","50",0.240461742576274
"21","1","50",0.238659817125096
"22","1","50",0.340506258128855
"23","1","50",0.317643746964449
"24","1","50",0.119173287684964
"25","1","50",0.372985292812563
"26","1","50",0.134274288289906
"27","1","50",0.144464132103172
"28","1","50",0.293194308858658
"29","1","50",0.33982267721234
"30","1","50",0.338817668254899
"31","1","50",0.220528556932952
"32","1","50",0.302413108485866
"33","1","50",0.167233209362201
"34","1","50",0.253823433606918
"35","1","50",0.325068653751944
"36","1","50",0.227267538273766
"37","1","50",0.288677073800767
"38","1","50",0.221060145894858
"39","1","50",0.150442807219395
"40","1","50",0.29832417506523
"41","1","50",0.374370971062129
"42","1","50",0.0173489146433852
"43","1","50",0.137240638310178
"44","1","50",0.168769070648984
"45","1","50",0.227350213403481
"46","1","50",0.0777134650604211
"47","1","50",0.118774598654772
"48","1","50",0.12112564561963
"49","1","50",0.0968026573483241
"50","1","50",0.0851924445957071
"51","1","50",0.220018802418189
"52","1","50",0.111565863457423
"53","1","50",0.0301399435330996
"54","1","50",0.28601622439158
"55","1","50",0.295252998835199
"56","1","50",0.0558993366892941
"57","1","50",0.0311554424787934
"58","1","50",0.309418384459034
"59","1","50",0.335663542915033
"60","1","50",0.25318890369199
"61","1","50",0.348894398236356
"62","1","50",0.397203644637223
"63","1","50",0.265610112580073
"64","1","50",0.199389220174954
"65","1","50",0.361986199449848
"66","1","50",0.331994651041375
"67","1","50",0.211619525910344
"68","1","50",0.080033532652499
"69","1","50",0.331348382224887
"70","1","50",0.355795886199
"71","1","50",0.368919166724874
"72","1","50",0.232113212059854
"73","1","50",0.231616898132108
"74","1","50",0.267554745538155
"75","1","50",0.32857926906319
"76","1","50",0.339438950360837
"77","1","50",0.00857272758740459
"78","1","50",0.093249688381259
"79","1","50",0.250338218792928
"80","1","50",0.275455023936638
"81","1","50",0.203857897629981
"82","1","50",0.318845791839178
"83","1","50",0.122192364513935
"84","1","50",0.214056454759507
"85","1","50",0.307578960065589
"86","1","50",0.208696776595213
"87","1","50",0.103051117332495
"88","1","50",0.104060084787441
"89","1","50",0.312499373270403
"90","1","50",0.171437164329078
"91","1","50",0.265464706259518
"92","1","50",0.169813903831885
"93","1","50",0.10170949559849
"94","1","50",0.0341354082790026
"95","1","50",0.166003458050273
"96","1","50",0.179593088075822
"97","1","50",0.284478749631178
"98","1","50",0.256371701652512
"99","1","50",0.270012477711348
"100","1","50",0.173823200948096
"101","1","50",0.347859278877782
"102","1","50",0.359206658305257
"103","1","50",0.156833856166418
"104","1","50",0.273649380384581
"105","1","50",0.299824189908763
"106","1","50",0.310696686433031
"107","1","50",0.381508888562383
"108","1","50",0.364439271506964
"109","1","50",0.336150134536065
"110","1","50",0.126077401926334
"111","1","50",0.262433956044767
"112","1","50",0.0787593929245018
"113","1","50",0.201963465383534
"114","1","50",0.160394142499789
"115","1","50",0.308534936921685
"116","1","50",0.350707751371282
"117","1","50",0.109618744058624
"118","1","50",0.325387444897613
"119","1","50",0.172261889455956
"120","1","50",0.336643769223961
"121","1","50",0.192019306390021
"122","1","50",0.154256108802926
"123","1","50",0.184582241424565
"124","1","50",0.180993298277082
"125","1","50",0.110595514132203
"126","1","50",0.267419855004136
"127","1","50",0.0857394238215271
"128","1","50",0.155131973086814
"129","1","50",0.060534583066161
"130","1","50",0.370551647185858
"131","1","50",0.0496778753916334
"132","1","50",0.280889841213986
"133","1","50",0.338091344493716
"134","1","50",0.34599690970513
"135","1","50",0.26457297356741
"136","1","50",0.345906393718468
"137","1","50",0.286970884316211
"138","1","50",0.122000493721351
"139","1","50",0.252155017122823
"140","1","50",0.0717524468943692
"141","1","50",0.102747419944222
"142","1","50",0.227831048226321
"143","1","50",0.0850531229029634
"144","1","50",0.234946542056996
"145","1","50",0.274125058057485
"146","1","50",0.174235947477882
"147","1","50",0.256468293953999
"148","1","50",0.175997790515782
"149","1","50",0.341738442960908
"150","1","50",0.313026209405029
"151","1","50",0.377787676462956
"152","1","50",0.368131577767377
"153","1","50",0.263602891042044
"154","1","50",0.122692260827159
"155","1","50",0.119590191082954
"156","1","50",0.174069508645108
"157","1","50",0.278911014025919
"158","1","50",0.257526247396077
"159","1","50",0.398913457149
"160","1","50",0.358872964357728
"161","1","50",0.263423410927541
"162","1","50",0.0709332339485054
"163","1","50",0.207202586581609
"164","1","50",0.0523040651382889
"165","1","50",0.257063012672075
"166","1","50",0.344409744997357
"167","1","50",0.148444266315719
"168","1","50",0.297863537343151
"169","1","50",0.342574873958082
"170","1","50",0.303224464868164
"171","1","50",0.375506491402526
"172","1","50",0.244926081207175
"173","1","50",0.329311970672229
"174","1","50",0.333711960400792
"175","1","50",0.313535478762821
"176","1","50",0.28767151885197
"177","1","50",0.217177938575077
"178","1","50",0.309154946946422
"179","1","50",0.372550010504091
"180","1","50",0.303910185013612
"181","1","50",0.0333649286803431
"182","1","50",0.370786506805664
"183","1","50",0.330008282983102
"184","1","50",0.202673703256924
"185","1","50",0.256728451059109
"186","1","50",0.339535004913772
"187","1","50",0.2598029324241
"188","1","50",0.126960882113656
"189","1","50",0.106921714208468
"190","1","50",0.21889629392909
"191","1","50",0.300917041454771
"192","1","50",0.286198753226605
"193","1","50",0.364818909672064
"194","1","50",0.144619597096729
"195","1","50",0.321728468698534
"196","1","50",0.148261254283591
"197","1","50",0.0674111471385669
"198","1","50",0.364239093783009
"199","1","50",0.346616095033799
"200","1","50",0.406127563312864
"201","1","50",0.313840425722612
"202","1","50",0.244579688909264
"203","1","50",0.213610498565447
"204","1","50",0.376512481874739
"205","1","50",0.321467265647245
"206","1","50",0.343862113533297
"207","1","50",0.301402228101088
"208","1","50",0.301708545886964
"209","1","50",0.190421118446117
"210","1","50",0.345905140331085
"211","1","50",0.343493117235714
"212","1","50",0.270940824601046
"213","1","50",0.310314058726537
"214","1","50",0.0744166103895912
"215","1","50",0.284497238161675
"216","1","50",0.125879456555471
"217","1","50",0.13421313041313
"218","1","50",0.196800925915687
"219","1","50",0.0739632714492778
"220","1","50",0.320273333819759
"221","1","50",0.367282768140148
"222","1","50",0.0454939754023393
"223","1","50",0.319806658247054
"224","1","50",0.163476920212565
"225","1","50",0.0593660475829623
"226","1","50",0.245863202594107
"227","1","50",0.227947304248992
"228","1","50",0.260905636481312
"229","1","50",0.0709992303713468
"230","1","50",0.134864743798277
"231","1","50",0.387432234155109
"232","1","50",0.234467011068252
"233","1","50",0.333692605010023
"234","1","50",0.383599295189134
"235","1","50",0.300363937665696
"236","1","50",0.135126589546485
"237","1","50",0.37306522930305
"238","1","50",0.342196626419379
"239","1","50",0.358548658040724
"240","1","50",0.180248827212649
"241","1","50",0.179170451451568
"242","1","50",0.0367822816013599
"243","1","50",0.379611370616255
"244","1","50",0.346971778102513
"245","1","50",0.314383833897518
"246","1","50",0.314791507767897
"247","1","50",0.164894494139854
"248","1","50",0.254348191994553
"249","1","50",0.3572925065108
"250","1","50",0.361028351060813
"251","1","50",0.319901800375073
"252","1","50",0.297873497048945
"253","1","50",0.306919852009994
"254","1","50",0.126306182481232
"255","1","50",0.384190333789086
"256","1","50",0.166794726583661
"257","1","50",0.325300205269253
"258","1","50",0.335081125705765
"259","1","50",0.0478490675061284
"260","1","50",0.264510022878905
"261","1","50",0.248778704326546
"262","1","50",0.296151562254885
"263","1","50",0.0999827728837288
"264","1","50",0.197702916901005
"265","1","50",0.355197873471187
"266","1","50",0.0633016706762567
"267","1","50",0.324898133446038
"268","1","50",0.196884739910913
"269","1","50",0.232600094771201
"270","1","50",0.189896087008421
"271","1","50",0.0742768379523634
"272","1","50",0.147214341434729
"273","1","50",0.33467665708781
"274","1","50",0.00398349347800728
"275","1","50",0.295440919286996
"276","1","50",0.231249332662778
"277","1","50",0.358917905774096
"278","1","50",0.265564325071209
"279","1","50",0.229276252173723
"280","1","50",0.378199988443939
"281","1","50",0.311085886264339
"282","1","50",0.376382972227739
"283","1","50",0.360134236434709
"284","1","50",0.262400734038704
"285","1","50",0.26376437047854
"286","1","50",0.261516840105887
"287","1","50",0.350976230400899
"288","1","50",0.219486243269334
"289","1","50",0.150426902861823
"290","1","50",0.355589424532162
"291","1","50",0.344322254129289
"292","1","50",0.335790913165664
"293","1","50",0.197698598624462
"294","1","50",0.362112712457327
"295","1","50",0.368042003153502
"296","1","50",0.0505140981334502
"297","1","50",0.151116187874815
"298","1","50",0.366175208978027
"299","1","50",0.106006379727145
"300","1","50",0.324968884095147
"301","1","50",0.262950274527861
"302","1","50",0.316750955983971
"303","1","50",0.356755537104447
"304","1","50",0.0619824896425277
"305","1","50",0.290556494910648
"306","1","50",0.259175960648418
"307","1","50",0.241868545043478
"308","1","50",0.0846715982513448
"309","1","50",0.34891607972161
"310","1","50",0.174294897529841
"311","1","50",0.280548027161127
"312","1","50",0.3134548407243
"313","1","50",0.327512930196468
"314","1","50",0.248589516490842
"315","1","50",0.31582248080876
"316","1","50",0.292675667023213
"317","1","50",0.108480505676871
"318","1","50",0.297911668008276
"319","1","50",0.367310463191409
"320","1","50",0.284473941220942
"321","1","50",0.299024086934688
"322","1","50",0.291635091377821
