"simulation","cohort","N","Mean"
"1","1","50",-0.433491206060069
"2","1","50",-0.16299934786228
"3","1","50",-0.151187636116009
"4","1","50",-0.100351222681107
"5","1","50",-0.443457341407325
"6","1","50",-0.123594781889326
"7","1","50",-0.192029743737594
"8","1","50",-0.438544870758167
"9","1","50",-0.461832348887136
"10","1","50",-0.0274196902990832
"11","1","50",-0.56624059599553
"12","1","50",-0.458277659228885
"13","1","50",-0.0186054816528024
"14","1","50",-0.455699565442843
"15","1","50",-0.406668795565807
"16","1","50",-0.579117513677415
"17","1","50",-0.295888556741073
"18","1","50",-0.249622577050008
"19","1","50",-0.207500497666632
"20","1","50",-0.303629922251555
"21","1","50",-0.389904142571034
"22","1","50",-0.401929926283026
"23","1","50",-0.171363009127937
"24","1","50",-0.177728665986115
"25","1","50",0.0917377150100817
"26","1","50",0.00342410973525358
"27","1","50",-0.32220752174804
"28","1","50",-0.168051670100455
"29","1","50",0.00910428175369011
"30","1","50",-0.892152630137809
"31","1","50",-0.358050596291642
"32","1","50",0.080627313835019
"33","1","50",0.0656363480018291
"34","1","50",-0.596008565781988
"35","1","50",-0.430915538319425
"36","1","50",-0.244853522855129
"37","1","50",0.0258249101054891
"38","1","50",0.074015572878714
"39","1","50",-0.23926199907981
"40","1","50",-0.337394120803422
"41","1","50",-0.424815962216065
"42","1","50",0.216570265822263
"43","1","50",-0.149296481588995
"44","1","50",0.123149388388491
"45","1","50",-0.455643679188617
"46","1","50",-0.1810577529089
"47","1","50",-0.467350206237975
"48","1","50",-0.274914045397736
"49","1","50",-0.168350424309888
"50","1","50",-0.42010005780365
"51","1","50",-0.444834032291717
"52","1","50",-0.510414545339157
"53","1","50",-0.420939857736116
"54","1","50",-0.0118956991606621
"55","1","50",-0.250727847322846
"56","1","50",-0.344496655726018
"57","1","50",-0.00279829793675735
"58","1","50",-0.217185799075454
"59","1","50",-0.0912433274262814
"60","1","50",0.362154872241769
"61","1","50",-0.0428548291330386
"62","1","50",-0.136321094268678
"63","1","50",-0.286774344440523
"64","1","50",0.0606350569045904
"65","1","50",-0.0344573957787419
"66","1","50",-0.232517924666785
"67","1","50",0.116025736991386
"68","1","50",-0.546925275138199
"69","1","50",-0.523501104510423
"70","1","50",-0.26415986630214
"71","1","50",-0.378786159650934
"72","1","50",-0.111880105214259
"73","1","50",-0.0699533586128036
"74","1","50",-0.344275853165817
"75","1","50",-0.413324280371472
"76","1","50",-0.303808052250856
"77","1","50",-0.087319567121958
"78","1","50",0.258035480382282
"79","1","50",-0.235465455815929
"80","1","50",-0.133327602151692
"81","1","50",-0.241132151443568
"82","1","50",-0.508978058686474
"83","1","50",-0.177559108749451
"84","1","50",-0.0399802868924336
"85","1","50",-0.565617120642504
"86","1","50",-0.339262609708997
"87","1","50",0.136362067404923
"88","1","50",-0.433071466190772
"89","1","50",0.0274335611843033
"90","1","50",0.148029315048271
"91","1","50",-0.92252644212743
"92","1","50",-0.628857633435663
"93","1","50",-0.141198362048084
"94","1","50",-0.204660332061619
"95","1","50",-0.837442478277561
"96","1","50",-0.111034667343764
"97","1","50",-0.259164388526481
"98","1","50",-0.198149852034621
"99","1","50",0.10134553921548
"100","1","50",0.114366926410169
"101","1","50",-0.00154281192379066
"102","1","50",-0.00740134054832518
"103","1","50",-0.243846112551406
"104","1","50",-0.210266897415255
"105","1","50",-0.158973164674788
"106","1","50",-0.0491640928802996
"107","1","50",-0.235433061361791
"108","1","50",-0.406202681336407
"109","1","50",-0.185841751698073
"110","1","50",-0.137133839388992
"111","1","50",-0.257293186407856
"112","1","50",-0.147194553319399
"113","1","50",-0.0942283623208515
"114","1","50",-0.335905696381889
"115","1","50",-0.330048148772994
"116","1","50",0.280167871788734
"117","1","50",-0.212134978529099
"118","1","50",-0.161799520276549
"119","1","50",-0.0716500366286567
"120","1","50",-0.450945959792225
"121","1","50",-0.523520516346907
"122","1","50",-0.276226471594525
"123","1","50",-0.322958813709863
"124","1","50",0.05383697560129
"125","1","50",-0.648457357675003
"126","1","50",-0.565364040002806
"127","1","50",-0.240982151390928
"128","1","50",0.0823453017423825
"129","1","50",0.0140178935767404
"130","1","50",-0.242819818492402
"131","1","50",-0.268634724591628
"132","1","50",0.190070939792066
"133","1","50",-0.339999924983733
"134","1","50",-0.247486084696045
"135","1","50",-0.161674270723158
"136","1","50",-0.0809064206034074
"137","1","50",-0.0255508012965957
"138","1","50",-0.0826791080249444
"139","1","50",-0.210237360624746
"140","1","50",-0.552896048370165
"141","1","50",-0.580866948545146
"142","1","50",-0.105400858001184
"143","1","50",0.0659624149156647
"144","1","50",0.0753895408890964
"145","1","50",-0.075842613544795
"146","1","50",-0.427346439610926
"147","1","50",0.00906906186392772
"148","1","50",-0.0546399658333464
"149","1","50",-0.50974336106983
"150","1","50",-0.165336746422361
"151","1","50",-0.24568207283023
"152","1","50",-0.264929454348982
"153","1","50",-0.182214266858902
"154","1","50",-0.186762864938564
"155","1","50",-0.0209150483560142
"156","1","50",-0.11788876538729
"157","1","50",-0.504355369285932
"158","1","50",0.0299898947317747
"159","1","50",-0.0348390685605609
"160","1","50",-0.224366631950492
"161","1","50",-0.332968868640675
"162","1","50",-0.208772601611626
"163","1","50",-0.226296351144111
"164","1","50",-0.707908848683935
"165","1","50",-0.561048113496948
"166","1","50",0.130042416751771
"167","1","50",-0.144193972103402
"168","1","50",-0.07723796262549
"169","1","50",-0.0693875945822341
"170","1","50",-0.461823109126707
"171","1","50",-0.429933781268319
"172","1","50",-0.36115978317559
"173","1","50",-0.466570422681464
"174","1","50",0.0716259393633693
"175","1","50",0.154821495439027
"176","1","50",-0.357699756036757
"177","1","50",-0.0319387405345589
"178","1","50",-0.478465824201156
"179","1","50",-0.233523376749275
"180","1","50",-0.116080305341733
"181","1","50",-0.0927037040168605
"182","1","50",0.0767785092809971
"183","1","50",0.0663296404673162
"184","1","50",-0.360689809729528
"185","1","50",-0.0807942022324772
"186","1","50",-0.304550023516629
"187","1","50",-0.233345102222205
"188","1","50",-0.159247465831246
"189","1","50",-0.170561682822278
"190","1","50",-0.00814536255908091
"191","1","50",-0.139438673548238
"192","1","50",-0.199660634935356
"193","1","50",-0.259968630267724
"194","1","50",-0.163867989975662
"195","1","50",0.18332276585619
"196","1","50",-0.106503060501861
"197","1","50",-0.407769991936058
"198","1","50",-0.0935270748687203
"199","1","50",-0.355620226267199
"200","1","50",0.000729597112171501
"201","1","50",-0.270190165116363
"202","1","50",-0.132917870162998
"203","1","50",-0.244347723648508
"204","1","50",-0.474788043324356
"205","1","50",0.0976133653807108
"206","1","50",-0.204966512375049
"207","1","50",-0.141227083758119
"208","1","50",-0.180335610368079
"209","1","50",-0.134096665811552
"210","1","50",-0.155463213564908
"211","1","50",-0.111922696235918
"212","1","50",-0.14325516622524
"213","1","50",-0.556742427528984
"214","1","50",-0.280392361502111
"215","1","50",-0.154642102446536
"216","1","50",0.0356585390535871
"217","1","50",-0.45144081317985
"218","1","50",-0.329132470465347
"219","1","50",-0.640069472764548
"220","1","50",-0.511421704123985
"221","1","50",0.207106770525485
"222","1","50",-0.453557900724095
"223","1","50",-0.0656475532053749
"224","1","50",-0.315018315015049
"225","1","50",-0.0166262714505267
"226","1","50",-0.148875371540272
"227","1","50",-0.0743111000873984
"228","1","50",-0.244565196860003
"229","1","50",-0.297551646134064
"230","1","50",-0.380860070055385
"231","1","50",-0.383846051520136
"232","1","50",0.035996059323023
"233","1","50",-0.451300044210192
"234","1","50",-0.605168930171452
"235","1","50",-0.596132308826389
"236","1","50",-0.50247856273969
"237","1","50",-0.690263446543584
"238","1","50",-0.268869446957166
"239","1","50",0.0026213783917487
"240","1","50",-0.279848622297985
"241","1","50",-0.130774340311149
"242","1","50",-0.45823544850656
"243","1","50",0.129743001494909
"244","1","50",-0.221465196771751
"245","1","50",0.0560998009533355
"246","1","50",-0.127224815574165
"247","1","50",-0.0783772629291984
"248","1","50",-0.274163084069605
"249","1","50",-0.197347463284967
"250","1","50",-0.146284710745567
"251","1","50",-0.346986317764926
"252","1","50",-0.440292002840634
"253","1","50",-0.184229240259057
"254","1","50",-0.378449085046505
"255","1","50",-0.608187940107614
"256","1","50",0.175895446715986
"257","1","50",-0.130588010632931
"258","1","50",-0.324254604833733
"259","1","50",0.233965445249587
"260","1","50",-0.279265030536869
"261","1","50",-0.483500924305388
"262","1","50",0.260663326378159
"263","1","50",-0.74896189713697
"264","1","50",0.00611423256823936
"265","1","50",-0.169783991630335
"266","1","50",-0.0936162831980635
