"simulation","model","N","percentage"
"1","1","50",0.551631913368168
"2","1","50",0
"3","1","50",0.452822583864811
"4","1","50",0
"5","1","50",0.552355371691112
"6","1","50",0
"7","1","50",0
"8","1","50",0.446068082535898
"9","1","50",0.443222432560181
"10","1","50",0
"11","1","50",0
"12","1","50",0.530502527400225
"13","1","50",0.517046602172848
"14","1","50",0.538051345758841
"15","1","50",0
"16","1","50",0.419910813215366
"17","1","50",0.562397681138273
"18","1","50",0
"19","1","50",0.464418089856995
"20","1","50",0
"21","1","50",0
"22","1","50",0
"23","1","50",0.567545179319092
"24","1","50",0
"25","1","50",0.523079481114264
"26","1","50",0
"27","1","50",0
"28","1","50",0.515568315209859
"29","1","50",0
"30","1","50",0
"31","1","50",0.563688622349453
"32","1","50",0
"33","1","50",0
"34","1","50",0.538990227855922
"35","1","50",0
"36","1","50",0
"37","1","50",0.493343863176133
"38","1","50",0
"39","1","50",0
"40","1","50",0.494772661186765
"41","1","50",0.454073070520175
"42","1","50",0
"43","1","50",0.547695804584618
"44","1","50",0.462102959713263
"45","1","50",0
"46","1","50",0
"47","1","50",0
"48","1","50",0
"49","1","50",0.439446608135998
"50","1","50",0
"51","1","50",0
"52","1","50",0
"53","1","50",0
"54","1","50",0
"55","1","50",0.406090897044597
"56","1","50",0
"57","1","50",0
"58","1","50",0
"59","1","50",0
"60","1","50",0.44807865388786
"61","1","50",0.48722924617133
"62","1","50",0.499142553361724
"63","1","50",0.436396484972321
"64","1","50",0
"65","1","50",0.517332327277706
"66","1","50",0
"67","1","50",0.488401418426765
"68","1","50",0.495727699523428
"69","1","50",0
"70","1","50",0.561475144781112
"71","1","50",0.515421712920935
"72","1","50",0
"73","1","50",0
"74","1","50",0.468245433386883
"75","1","50",0.466834717046068
"76","1","50",0
"77","1","50",0
"78","1","50",0
"79","1","50",0.446427276435923
"80","1","50",0.466190110808115
"81","1","50",0
"82","1","50",0.433423951097415
"83","1","50",0
"84","1","50",0.502874643250645
"85","1","50",0
"86","1","50",0
"87","1","50",0
"88","1","50",0
"89","1","50",0
"90","1","50",0
"91","1","50",0.561065706877367
"92","1","50",0.414030018075077
"93","1","50",0.428239762819004
"94","1","50",0
"95","1","50",0
"96","1","50",0.451645836074798
"97","1","50",0.574554184007754
"98","1","50",0
"99","1","50",0.487469133215882
"100","1","50",0
"101","1","50",0.507794162212693
"102","1","50",0.544046315842848
"103","1","50",0.500041653030867
"104","1","50",0
"105","1","50",0.455600198942795
"106","1","50",0.530586142724621
"107","1","50",0.510062944102896
"108","1","50",0.529417077630173
"109","1","50",0
"110","1","50",0
"111","1","50",0
"112","1","50",0.385105890752372
"113","1","50",0.531796414073621
"114","1","50",0
"115","1","50",0.574802571417105
"116","1","50",0.456708151306198
"117","1","50",0.492316373362762
"118","1","50",0.558713421713657
"119","1","50",0.589783812178728
"120","1","50",0.558496536944969
"121","1","50",0.529752493170592
"122","1","50",0.430609065719804
"123","1","50",0
"124","1","50",0.481347508201869
"125","1","50",0
"126","1","50",0
"127","1","50",0
"128","1","50",0
"129","1","50",0
"130","1","50",0.382137813930091
"131","1","50",0
"132","1","50",0.582068967598285
