"N","mean","bias","mse","prob","cover","model"
50,-0.209697261896882,0.0134462894173274,0.0395823189111029,0.124,0.872,"MCMC-Uniform"
100,-0.244195119316433,-0.0210515680022234,0.0152847212544182,0.444,0.556,"MCMC-Uniform"
150,-0.257857566658731,-0.034714015344521,0.00835075185752644,0.768,0.23,"MCMC-Uniform"
200,-0.251707459226432,-0.0285639079122222,0.00555638315729229,0.874,0.13,"MCMC-Uniform"
250,-0.252988697223591,-0.0298451459093813,0.00592630959613009,0.93,0.07,"MCMC-Uniform"
300,-0.256563871923547,-0.0334203206093374,0.00434607842044524,0.978,0.022,"MCMC-Uniform"
350,-0.255462198943753,-0.0323186476295434,0.00429119627907948,0.982,0.018,"MCMC-Uniform"
400,-0.250517986471124,-0.0273744351569143,0.00325116839976816,0.988,0.012,"MCMC-Uniform"
450,-0.253808899380837,-0.0306653480666277,0.00302403133950176,0.992,0.008,"MCMC-Uniform"
500,-0.252974597046017,-0.0298310457318074,0.00297776735547948,0.996,0.004,"MCMC-Uniform"
