"N","Mean","bias","mse","prob","cover","model"
50,-0.233191828588666,-0.0100482772744565,0.00010096787618436,0.338,0.93,"Laplace-Empirical"
100,-0.242697163737266,-0.0195536124230563,0.000382343758791103,0.598,0.922,"Laplace-Empirical"
150,-0.251828662348983,-0.0286851110347729,0.00082283559507725,0.79,0.92,"Laplace-Empirical"
200,-0.241716906098765,-0.0185733547845555,0.000344969507952969,0.864,0.934,"Laplace-Empirical"
250,-0.247927708756525,-0.0247841574423155,0.000614254460125482,0.914,0.918,"Laplace-Empirical"
300,-0.245958609049088,-0.0228150577348785,0.000520526859445841,0.94,0.916,"Laplace-Empirical"
350,-0.245498936059229,-0.0223553847450189,0.000499763227097823,0.956,0.92,"Laplace-Empirical"
400,-0.237617519492351,-0.0144739681781414,0.000209495754821851,0.966,0.914,"Laplace-Empirical"
450,-0.242751268022658,-0.0196077167084482,0.000384462554518757,0.992,0.916,"Laplace-Empirical"
500,-0.241870463510511,-0.0187269121963008,0.000350697240407959,0.986,0.904,"Laplace-Empirical"
