"simulation","cohort","N","Mean"
"1","1","50",-0.195387176907971
"2","1","50",-0.253985723131308
"3","1","50",-0.212043581108301
"4","1","50",-0.232092501967242
"5","1","50",-0.0876528785804611
"6","1","50",-0.181587375707883
"7","1","50",-0.21103030102411
"8","1","50",-0.351851373418787
"9","1","50",-0.128113564299282
"10","1","50",-0.188585804532085
"11","1","50",-0.0878044364639578
"12","1","50",-0.319216328958685
"13","1","50",-0.222773908673903
"14","1","50",-0.490851857258349
"15","1","50",-0.273539242237869
"16","1","50",-0.426312655171389
"17","1","50",-0.124759743159607
"18","1","50",-0.228240805395346
"19","1","50",-0.286342905837356
"20","1","50",-0.100048171952451
"21","1","50",-0.443485035332104
"22","1","50",-0.498245433613367
"23","1","50",-0.253595294605057
"24","1","50",0.0743798483744085
"25","1","50",-0.239515563540046
"26","1","50",-0.0234424957817334
"27","1","50",-0.0332269771358111
"28","1","50",-0.184258007729325
"29","1","50",-0.465883668754166
"30","1","50",-0.441515053475568
"31","1","50",-0.208977474412717
"32","1","50",-0.199779859252096
"33","1","50",0.138343371623526
"34","1","50",-0.42395729121414
"35","1","50",-0.277470038757437
"36","1","50",0.00690442400421779
"37","1","50",-0.193338963403108
"38","1","50",-0.229702844345824
"39","1","50",-0.118125500889892
"40","1","50",-0.357238934697492
"41","1","50",-0.379975770860438
"42","1","50",-0.672598118362361
"43","1","50",-0.0477005523448051
"44","1","50",-0.0800271206284724
"45","1","50",-0.0821656230618832
"46","1","50",-0.24842982130991
"47","1","50",-0.631818480789794
"48","1","50",-0.408960103812813
"49","1","50",-0.288003660204199
"50","1","50",-0.0386060479014944
"51","1","50",-0.0398930393552243
"52","1","50",-0.483383996798165
"53","1","50",-0.0738850572262181
"54","1","50",-0.503579421245833
"55","1","50",-0.126713685886356
"56","1","50",-0.316731306196956
"57","1","50",-0.163030708517034
"58","1","50",-0.297432762018921
"59","1","50",-0.502806669415853
"60","1","50",-0.435591149595299
"61","1","50",-0.0209259828956227
"62","1","50",-0.610098521329359
"63","1","50",-0.315208473409471
