"simulation","cohort","N","CI_value.LowBound","CI_value.UpBound"
"1","1","50",-0.484547372579088,0.085994996670762
"2","1","50",-0.569869020572309,0.101611560114158
"3","1","50",-0.484162516022041,0.0740974597011275
"4","1","50",-0.533745459477005,0.103752854667469
"5","1","50",-0.358454253160523,0.18957138836293
"6","1","50",-0.476069372226555,0.177723629476089
"7","1","50",-0.510873142347591,0.111836429531197
"8","1","50",-0.66143271897474,-0.0679075868537924
"9","1","50",-0.426102918390163,0.187179457533682
"10","1","50",-0.505803284556956,0.104535957586422
"11","1","50",-0.385853906348983,0.221121255716888
"12","1","50",-0.605288054610765,0.0412088654886595
"13","1","50",-0.506885180269972,0.0613302560516067
"14","1","50",-0.752464603241536,-0.22564585597823
"15","1","50",-0.597656076684245,0.0158843523392295
"16","1","50",-0.739024666919497,-0.0981306561374494
"17","1","50",-0.40228671077444,0.143158917442883
"18","1","50",-0.525869691354422,0.0850829137384087
"19","1","50",-0.572574566164898,-0.0104827740794084
"20","1","50",-0.405203894107498,0.213515800117827
"21","1","50",-0.753581673400145,-0.00779276299916626
"22","1","50",-0.778448295998911,-0.229014098937429
"23","1","50",-0.5307640086727,0.0246343550320179
"24","1","50",-0.320228745474156,0.429750420368689
"25","1","50",-0.511548640392398,0.053045355967556
"26","1","50",-0.353591346262742,0.302690768019497
"27","1","50",-0.339316644696071,0.276823082143134
"28","1","50",-0.479497830494212,0.0893891836320034
"29","1","50",-0.766402042188156,-0.17206733623074
"30","1","50",-0.726180532555529,-0.166506224937126
"31","1","50",-0.482341284430846,0.0584320798730611
"32","1","50",-0.479597300907749,0.131347695545912
"33","1","50",-0.31467400180993,0.589977644773493
"34","1","50",-0.726523079641316,-0.113790748777335
"35","1","50",-0.568226586566963,0.0496639189273786
"36","1","50",-0.314976368323843,0.339230197163816
"37","1","50",-0.478370723507896,0.113907411100882
"38","1","50",-0.520510814622442,0.134404758477986
"39","1","50",-0.45491402801954,0.23254178367271
"40","1","50",-0.639024671015751,-0.0738377959045229
"41","1","50",-0.655930049920596,-0.112078376789841
"42","1","50",-1.03030874360259,-0.315293131462789
"43","1","50",-0.347710312131223,0.237096203471104
"44","1","50",-0.392717926338911,0.246743355356907
"45","1","50",-0.407781212207449,0.243625901043223
"46","1","50",-0.559744927787853,0.107028918472387
"47","1","50",-1.00402034426188,-0.24308524200317
"48","1","50",-0.741421430972116,-0.0754788013671359
"49","1","50",-0.60912115670249,0.112838306937762
"50","1","50",-0.374691244880966,0.277443655375878
"51","1","50",-0.361784703527491,0.389294161949279
"52","1","50",-0.851126315461736,-0.0752485753373572
"53","1","50",-0.376342200685649,0.241052420395368
"54","1","50",-0.818765728533958,-0.19929211507806
"55","1","50",-0.462593102153423,0.164683199467194
"56","1","50",-0.667667185672997,0.0015774240689431
"57","1","50",-0.493167758320896,0.280214388546296
"58","1","50",-0.606107494425809,-0.0164147137715378
"59","1","50",-0.796236350360055,-0.187502958653805
"60","1","50",-0.737693303379706,-0.117113744625015
"61","1","50",-0.29809072973119,0.259239673726485
"62","1","50",-0.894747514387153,-0.334578420680187
"63","1","50",-0.635560294380604,-0.0304202804149877
"64","1","50",-0.0462306293940374,0.589122407994365
"65","1","50",-0.470537142170051,0.0779935227426845
"66","1","50",-0.83851068383705,-0.252722930656154
"67","1","50",-0.471924221978088,0.243602938015916
"68","1","50",-0.214050530478302,0.443412402950356
"69","1","50",-0.660790225525775,-0.10337413176596
"70","1","50",-0.57158875723342,-0.0240799064867068
