"N","Mean","bias","mse","prob","cover","model"
50,-0.00272196553466147,-0.00272196553466147,7.4090963718849e-06,0.04,0.926,"Laplace-Empirical"
100,-0.0023496271002524,-0.0023496271002524,5.5207475102405e-06,0.056,0.89,"Laplace-Empirical"
150,-0.0107685596082519,-0.0107685596082519,0.000115961876036475,0.09,0.868,"Laplace-Empirical"
200,0.00355351945157264,0.00355351945157264,1.26275004927051e-05,0.052,0.888,"Laplace-Empirical"
250,-0.00544013840707091,-0.00544013840707091,2.9595105888088e-05,0.096,0.826,"Laplace-Empirical"
300,-0.00406272527280542,-0.00406272527280542,1.65057366422918e-05,0.08,0.87,"Laplace-Empirical"
350,0.00522971873102294,0.00522971873102294,2.73499580056122e-05,0.096,0.824,"Laplace-Empirical"
400,0.00306784333351544,0.00306784333351544,9.41166271899511e-06,0.084,0.832,"Laplace-Empirical"
450,-0.00263353377599117,-0.00263353377599117,6.93550014928633e-06,0.106,0.806,"Laplace-Empirical"
500,0.00281306460293614,0.00281306460293614,7.91333246029227e-06,0.098,0.812,"Laplace-Empirical"
