N,mean,bias,mse,prob,cover,model
50,-0.359517357,-0.136373806,0.0504815870914215,0.448,0.902,Laplace-Uniform
100,-0.348264202,-0.12512065,0.0363135737668828,0.59,0.828,Laplace-Uniform
150,-0.352067563,-0.128924012,0.0351828518565431,0.714,0.744,Laplace-Uniform
200,-0.330468258,-0.107324707,0.0267440478503911,0.728,0.776,Laplace-Uniform
250,-0.333505939,-0.110362387,0.0250998992222526,0.806,0.758,Laplace-Uniform
300,-0.323332775,-0.100189224,0.0191516159549474,0.824,0.786,Laplace-Uniform
350,-0.311542987,-0.088399436,0.0190950188724842,0.818,0.784,Laplace-Uniform
400,-0.297739332,-0.074595781,0.0155131833567467,0.834,0.786,Laplace-Uniform
450,-0.306778219,-0.083634668,0.0140523275026505,0.902,0.802,Laplace-Uniform
500,-0.297715991,-0.07457244,0.0133438660618993,0.892,0.814,Laplace-Uniform
