"N","mean","bias","mse","prob","cover","model"
50,-0.0804460259649869,-0.0804460259649869,0.035945785956984,0.044,0.948,"Laplace-Uniform"
100,-0.080903126256799,-0.080903126256799,0.0253780065775792,0.09,0.91,"Laplace-Uniform"
150,-0.086922928171477,-0.086922928171477,0.0228117930859089,0.132,0.862,"Laplace-Uniform"
200,-0.0695072822218838,-0.0695072822218838,0.0162990420461204,0.076,0.916,"Laplace-Uniform"
250,-0.073914552563998,-0.073914552563998,0.0166082846032033,0.144,0.856,"Laplace-Uniform"
300,-0.0687808690076743,-0.0687808690076743,0.0129190593663125,0.132,0.866,"Laplace-Uniform"
350,-0.0561955085815272,-0.0561955085815272,0.0128647077540401,0.126,0.868,"Laplace-Uniform"
400,-0.0508719292155268,-0.0508719292155268,0.0108926285835707,0.104,0.882,"Laplace-Uniform"
450,-0.0532146398018424,-0.0532146398018424,0.0097789442307131,0.112,0.882,"Laplace-Uniform"
500,-0.0458326506610451,-0.0458326506610451,0.00871981597193385,0.114,0.874,"Laplace-Uniform"
