"simulation","N","N.1"
"1","50",280.38159454416
"2","50",283.076457226146
"3","50",305.493933834624
"4","50",285.578462828305
"5","50",292.941634606724
"6","50",204.204192118487
"7","50",299.739377651084
"8","50",260.85408049703
"9","50",242.22935113517
"10","50",283.012131918554
"11","50",286.013592169535
"12","50",237.60294154784
"13","50",298.736923896647
"14","50",305.231800826013
"15","50",263.697422019778
"16","50",270.429892918319
"17","50",282.132060376516
"18","50",266.074706168059
"19","50",299.214757011831
"20","50",233.93833170651
"21","50",244.147758039382
"22","50",305.516524945994
"23","50",298.483151745755
"24","50",263.279749516608
"25","50",299.202042479631
"26","50",233.805759575202
"27","50",239.741560212284
"28","50",289.845867181258
"29","50",306.159319241287
"30","50",318.017453173022
"31","50",282.84639584834
"32","50",245.22047448598
"33","50",205.003804990837
"34","50",259.046674945045
"35","50",275.219330291009
"36","50",254.861353013601
"37","50",238.575802667956
"38","50",269.789833667279
"39","50",261.951636733559
"40","50",295.92380133551
"41","50",301.197132998269
"42","50",238.164685040717
"43","50",260.570113271304
"44","50",228.484693360661
"45","50",222.574785158466
"46","50",215.575171627829
"47","50",251.815292525351
"48","50",297.658987451656
"49","50",247.619522721678
"50","50",263.524932240458
"51","50",195.551045848881
"52","50",255.270279781532
"53","50",231.434945812371
"54","50",274.070177337291
"55","50",284.147066042764
"56","50",227.112977642111
"57","50",180.357838468179
"58","50",299.639691722765
"59","50",283.014787961994
"60","50",256.340423337871
"61","50",284.876446849314
"62","50",304.472144838013
"63","50",280.469858475322
"64","50",248.308803028392
"65","50",304.184938023262
"66","50",319.811467062672
"67","50",223.667846694608
"68","50",224.236066829778
"69","50",278.043032052898
"70","50",287.851936582338
"71","50",281.148714354345
"72","50",214.041498746789
"73","50",301.990081393239
"74","50",299.270336572038
"75","50",285.996030045255
"76","50",287.58211657874
"77","50",197.827709121022
"78","50",232.620759532041
"79","50",219.426022975006
"80","50",278.90706262409
"81","50",205.267670284178
"82","50",292.773884068384
"83","50",265.329045293157
"84","50",249.099799979681
"85","50",316.276781931922
"86","50",277.42590373733
"87","50",243.712757826304
"88","50",195.694841108577
"89","50",253.634272050782
"90","50",178.962365899735
"91","50",291.337105512409
"92","50",221.377398409654
"93","50",266.487689859222
"94","50",236.182846774038
"95","50",274.525591793688
"96","50",242.34260931098
"97","50",273.184924640763
"98","50",310.45711645644
"99","50",297.512578297907
"100","50",288.213383881048
"101","50",308.073748141376
"102","50",288.59830230691
"103","50",279.001787897852
"104","50",290.157515004413
"105","50",303.144471415381
