"simulation","cohort","N","CI_value.LowBound","CI_value.UpBound"
"1","1","50",-0.483236812943402,0.11594237162356
"2","1","50",-0.536993179329906,0.0938452397927588
"3","1","50",-0.44641748671197,0.110976750927507
"4","1","50",-0.501146078636916,0.103738062863474
"5","1","50",-0.343715242396969,0.225382844044826
"6","1","50",-0.448868384973551,0.155651981478245
"7","1","50",-0.45809604413859,0.114775687629579
"8","1","50",-0.638212063315587,-0.0236931534643238
"9","1","50",-0.407739089968276,0.200252181107708
"10","1","50",-0.469590708706394,0.119324566888681
"11","1","50",-0.337564675765732,0.23241206320989
"12","1","50",-0.576021982298754,0.0858058075683157
"13","1","50",-0.502607281374438,0.0946457061305902
"14","1","50",-0.709847145085622,-0.186333531397401
"15","1","50",-0.549051453917471,0.0539456086864217
"16","1","50",-0.672701008195838,-0.0744229839656735
"17","1","50",-0.383123683661102,0.177712366915308
"18","1","50",-0.498932956860926,0.081283778200076
"19","1","50",-0.528472776090906,0.0256164379794624
"20","1","50",-0.358831862920284,0.235804464241054
"21","1","50",-0.724560196609738,-0.0304844139991301
"22","1","50",-0.76895613847178,-0.188740015912399
"23","1","50",-0.522043649790752,0.0507327237223367
"24","1","50",-0.548843400495821,0.137549392093084
"25","1","50",-0.453934146331127,0.0939191830679603
"26","1","50",-0.353645286905654,0.302315978703194
"27","1","50",-0.339176969391568,0.276986850356502
"28","1","50",-0.479408336189146,0.106596483497331
"29","1","50",-0.697749602914678,-0.129532196285441
"30","1","50",-0.70836789746199,-0.134683637895521
"31","1","50",-0.561388357174782,0.059560698528016
"32","1","50",-0.446967313774253,0.13739887336631
"33","1","50",-0.472773665286443,0.33975611092996
"34","1","50",-0.677187247631558,-0.0428046264857054
"35","1","50",-0.548272091997015,0.0496580356999126
"36","1","50",-0.314852020225967,0.339326452792246
"37","1","50",-0.44721575086766,0.148790548832186
"38","1","50",-0.413403963693116,0.270479381045776
"39","1","50",-0.454474838011053,0.23251343168948
"40","1","50",-0.636119389948292,-0.0453334710638537
"41","1","50",-0.610954950808831,-0.0786583710582489
"42","1","50",-0.992701897832726,-0.306623136948017
"43","1","50",-0.431674407315806,0.192014817437269
"44","1","50",-0.366392253707496,0.260667295190659
"45","1","50",-0.466071941628201,0.153514923663511
"46","1","50",-0.524433185819317,0.115426629983839
"47","1","50",-0.969912827190004,-0.210890337060182
"48","1","50",-0.838052721222414,-0.0628050754928295
"49","1","50",-0.608593928295975,0.113543425450881
"50","1","50",-0.550026005813344,0.145403033877304
"51","1","50",-0.426281307853685,0.239144909816158
"52","1","50",-0.794840177057018,-0.0961622352512155
"53","1","50",-0.354687434948804,0.258116646721785
"54","1","50",-0.686616807680636,-0.11117499922135
"55","1","50",-0.407460239111632,0.191794350161038
"56","1","50",-0.627204522845226,0.0433163401706547
"57","1","50",-0.46387762544713,0.267993689167014
"58","1","50",-0.557293057775536,0.0291660059983882
"59","1","50",-0.762987911192821,-0.184503490306823
"60","1","50",-0.705417990438115,-0.0788978675222896
"61","1","50",-0.274257291380502,0.274755905390378
"62","1","50",-0.869705550064829,-0.313154695030814
"63","1","50",-0.572901548448196,0.0405046965558349
"64","1","50",-0.0446419752413279,0.590717629771314
"65","1","50",-0.441754589051155,0.109584784914996
"66","1","50",-0.783898768116539,-0.202816053560567
"67","1","50",-0.444690945289041,0.259537059853465
"68","1","50",-0.171738597420487,0.486469896093245
"69","1","50",-0.637382123986967,-0.0868345753345739
"70","1","50",-0.561343627889784,-0.00666594310614288
"71","1","50",-0.517193995880991,0.0529862303404802
"72","1","50",-0.365837384603598,0.229614614737103
"73","1","50",-0.669749187896573,-0.031514415132257
"74","1","50",-0.454047544142094,0.148727584348745
"75","1","50",-0.42089970368724,0.119857288528409
"76","1","50",-0.751142540056333,-0.179707653249691
"77","1","50",-0.114459281240253,0.737151375947912
"78","1","50",0.062050673467461,0.732161355472961
"79","1","50",-0.40723797069064,0.21712512114326
"80","1","50",-0.455871576040735,0.146857898092306
"81","1","50",-0.33329741860215,0.314287472960844
"82","1","50",-0.464479533261328,0.106634551960744
"83","1","50",-0.509679572935861,0.196242259713663
"84","1","50",-0.38706915678475,0.216424333133416
"85","1","50",-0.593632694138901,-0.0258800676657555
"86","1","50",-0.358718565252302,0.265780740127167
"87","1","50",-0.407699755226287,0.264902048508403
"88","1","50",-0.295837576137016,0.415588099238602
"89","1","50",-0.39588257549555,0.183627482485531
"90","1","50",-0.299798908165634,0.566209833893959
"91","1","50",-0.514143251663979,0.0789747097038328
"92","1","50",-0.312668754635417,0.353082133654159
"93","1","50",-0.726363892426427,-0.0927599096927996
"94","1","50",-0.758487568255879,0.0198833638815146
"95","1","50",-0.660573199589574,0.0172663099691687
"96","1","50",-0.253052504987139,0.367026759338867
"97","1","50",-0.409539226479014,0.17311848783265
"98","1","50",-0.556263606589121,0.0519323828013215
"99","1","50",-0.311337576375704,0.284882754883038
"100","1","50",-0.43249828694827,0.208938834482471
"101","1","50",-0.29850265751722,0.246049149503934
"102","1","50",-0.71766210668689,-0.131805144572365
"103","1","50",-0.609595307138304,0.0241773795014935
"104","1","50",-0.712079275765088,-0.0838704437762481
"105","1","50",-0.215167997689365,0.345156678511213
"106","1","50",-0.308049009761408,0.288369858905057
"107","1","50",-0.601681516480119,-0.046009890280972
"108","1","50",-0.344825470173466,0.187143898922522
"109","1","50",-0.309127573602795,0.246083596599929
"110","1","50",-0.635652458414739,-0.00165769424577962
"111","1","50",-0.496988710199399,0.0884122592652872
"112","1","50",-0.309080592546808,0.376451489131061
"113","1","50",-0.66063940831068,0.00615852474897725
