"simulation","N","N.1"
"1","50",336.07392915358
"2","50",336.441600176541
"3","50",347.802562303704
"4","50",338.032745861161
"5","50",339.462973054683
"6","50",332.002257506923
"7","50",343.542672124724
"8","50",335.300872604602
"9","50",333.178016308597
"10","50",338.211497140767
"11","50",343.22573888891
"12","50",332.654476117664
"13","50",335.818711703059
"14","50",357.927962894168
"15","50",341.511058210222
"16","50",343.329245705205
"17","50",343.695855794849
"18","50",341.060934209399
"19","50",347.391804453714
"20","50",333.509677470825
"21","50",336.085619899969
"22","50",347.227249655992
"23","50",344.030568784625
"24","50",256.607459046694
"25","50",351.71167336161
"26","50",261.326406563855
"27","50",264.687590116751
"28","50",340.059214345032
"29","50",348.308600295475
"30","50",347.053748157062
"31","50",266.910160334469
"32","50",341.427657897973
"33","50",240.576998348392
"34","50",335.766550708726
"35","50",344.521851785071
"36","50",262.761146224336
"37","50",339.920212713718
"38","50",257.997491922116
"39","50",257.519411116654
"40","50",341.761264206563
"41","50",352.308093271152
"42","50",264.058044403769
"43","50",264.391092184989
"44","50",264.419379484405
"45","50",328.156196365863
"46","50",263.478962411053
"47","50",185.491797311108
"48","50",183.128441838104
"49","50",257.629363367945
"50","50",251.423013210342
"51","50",326.651672897847
"52","50",257.318585552534
"53","50",265.513907590861
"54","50",339.586561011007
"55","50",339.560550468931
"56","50",258.49468902898
"57","50",253.642678519581
"58","50",342.328536045586
"59","50",348.366930196465
"60","50",268.036806506415
"61","50",348.706850860804
"62","50",356.839829013494
"63","50",335.427167804703
"64","50",263.302907773056
"65","50",349.955276047243
"66","50",347.386805901618
"67","50",324.340858904772
"68","50",257.08403440518
"69","50",346.866368010326
"70","50",349.617331005245
"71","50",351.078478102723
"72","50",332.845819894072
"73","50",267.100891868584
"74","50",335.460457077135
"75","50",345.859671680279
"76","50",349.036363811207
"77","50",175.562577257579
"78","50",259.540723898901
"79","50",330.283692342119
"80","50",337.881771740312
"81","50",326.444043061022
"82","50",344.596987230255
"83","50",257.515054442938
"84","50",265.497624158934
"85","50",341.786051314166
"86","50",325.210743266209
"87","50",258.107952145517
