"simulation","cohort","N","CI_value.LowBound","CI_value.UpBound"
"1","1","50",-0.480168849293576,0.152351889400936
"2","1","50",-0.633538319699096,-0.0393434782751043
"3","1","50",-0.564581603276468,-0.00535791251896124
"4","1","50",-0.572046679685971,0.00178192201330582
"5","1","50",-0.422101092487479,0.158163343006038
"6","1","50",-0.33274421620104,0.371055192155382
"7","1","50",-0.561218863027319,0.00634431875028942
"8","1","50",-0.880868128851935,-0.214189427721734
"9","1","50",-0.380609524093677,0.282272594060667
"10","1","50",-0.578657431110504,0.00659821508654042
"11","1","50",-0.44049148778817,0.13109291337006
"12","1","50",-0.545453523032573,0.215056410259623
"13","1","50",-0.560810896688617,0.00864000480556567
"14","1","50",-0.815789787768036,-0.286117169275638
"15","1","50",-0.668522210242042,-0.060387213356827
"16","1","50",-0.902390574191468,-0.213490491241862
"17","1","50",-0.512328788647688,0.104959717302615
"18","1","50",-0.603308203340699,0.0389066342854242
"19","1","50",-0.637349110794988,-0.0850177817713937
"20","1","50",-0.388290493108153,0.321130643429837
"21","1","50",-0.849623032286635,-0.115323002646289
"22","1","50",-0.842181185295492,-0.275000498680334
"23","1","50",-0.575504743891013,0.0047870676704642
"24","1","50",-0.526009916606219,0.132393131910168
"25","1","50",-0.558903443743014,0.00632746276299693
"26","1","50",-0.444251141615012,0.286396761445151
"27","1","50",-0.413938748950036,0.209995314914602
"28","1","50",-0.579037383683596,0.041611759903298
"29","1","50",-0.790529461292649,-0.219279711062607
"30","1","50",-0.751379795266794,-0.206868092613271
"31","1","50",-0.53703403750468,0.0269984551513222
"32","1","50",-0.514487851699203,0.146155090349606
"33","1","50",-0.314310694733658,0.590346247631662
"34","1","50",-0.682842616344125,-0.00464812899015581
"35","1","50",-0.623528006237855,0.0274174210041447
"36","1","50",-0.328747599771617,0.437695578354141
"37","1","50",-0.442867945073198,0.214846916329876
"38","1","50",-0.587389903651277,0.0938790072432465
"39","1","50",-0.593591097670542,0.130999103790912
"40","1","50",-0.718094996574412,-0.116846405942346
"41","1","50",-0.696435642296611,-0.152555019362961
"42","1","50",-1.03066920355291,-0.315977878672195
"43","1","50",-0.342079941359297,0.320819223531314
"44","1","50",-0.39329621143504,0.246178766409686
"45","1","50",-0.64350212128259,0.0543677825277914
"46","1","50",-0.629218330500851,0.0647381839164282
"47","1","50",-0.893669204067061,-0.224498822415492
"48","1","50",-0.648451751713493,-0.0544043971701722
"49","1","50",-0.381272032974609,0.385995886329043
"50","1","50",-0.607014983022598,0.0334550343820834
"51","1","50",-0.245403929955484,0.682399344751991
"52","1","50",-0.621304948391794,0.00458120474007808
"53","1","50",-0.377105301751041,0.24040862078656
"54","1","50",-0.870693006264576,-0.279456527803307
"55","1","50",-0.631305365701905,-0.00327998384944207
"56","1","50",-0.667765972882714,0.00126685369282676
"57","1","50",-0.227276081198764,0.65902407027545
"58","1","50",-0.652348367007008,-0.0923320295137477
"59","1","50",-0.866663238788352,-0.245618230948164
"60","1","50",-0.83845670878489,-0.140576020526704
"61","1","50",-0.372638227643381,0.202160633075223
"62","1","50",-0.935966054600245,-0.375700539937653
"63","1","50",-0.783385411723717,-0.165193903010236
"64","1","50",-0.0737946106341055,0.691695795748139
"65","1","50",-0.552742361999757,0.00852968425641635
"66","1","50",-0.853542608285776,-0.307082705947855
"67","1","50",-0.248440876894114,0.665499176256836
"68","1","50",-0.213616824398421,0.443863502920294
"69","1","50",-0.728388499140669,-0.165179159855381
"70","1","50",-0.65436876142501,-0.0410819422958591
"71","1","50",-0.628299165963687,0.0114363848146325
"72","1","50",-0.295106308271326,0.426572683693815
"73","1","50",-0.649290775242077,-0.0785772161684699
"74","1","50",-0.555595879928945,0.00308994241189814
"75","1","50",-0.545728188471528,0.0104193791830996
"76","1","50",-0.873528274327048,-0.31339199459267
"77","1","50",-0.143792486281291,0.592524378096816
"78","1","50",0.0513325552532518,0.995567768071799
"79","1","50",-0.377126371633208,0.291967310905335
"80","1","50",-0.665710112665123,-0.0227563048460376
"81","1","50",-0.341375567876278,0.41157093508243
"82","1","50",-0.591417628373111,-0.0101338489103058
"83","1","50",-0.453776686247956,0.197476326891833
"84","1","50",-0.445057641591844,0.159941015424311
"85","1","50",-0.655411266390428,-0.134765941549746
"86","1","50",-0.414788684756983,0.160201465701467
"87","1","50",-0.517331789481209,0.100617240080578
"88","1","50",-0.247257460594868,0.536605733506661
"89","1","50",-0.485754584669451,0.142463149223928
"90","1","50",-0.300497539365362,0.565547138790687
"91","1","50",-0.576131786766517,0.00458964894483142
