"simulation","model","N","percentage"
"1","1","50",0.197042002182409
"2","1","50",0.360163978470223
"3","1","50",0.353207267080659
"4","1","50",0.340364338370783
"5","1","50",0.277033577645902
"6","1","50",0.117354425427164
"7","1","50",0.343319403569073
"8","1","50",0.175477495137383
"9","1","50",0.14576575113343
"10","1","50",0.274429757760833
"11","1","50",0.305780723831068
"12","1","50",0.166296586838937
"13","1","50",0.314523013581907
"14","1","50",0.425677547734141
"15","1","50",0.264922634988616
"16","1","50",0.185995310227318
"17","1","50",0.203313870238933
"18","1","50",0.234632741597678
"19","1","50",0.334304667644344
"20","1","50",0.105019377809233
"21","1","50",0.325613463505728
"22","1","50",0.371483671603571
"23","1","50",0.30864894326953
"24","1","50",0.198536241517583
"25","1","50",0.34676021681154
"26","1","50",0.104495313166376
"27","1","50",0.145617943958717
"28","1","50",0.240900514289593
"29","1","50",0.333587078470356
"30","1","50",0.415274976706707
"31","1","50",0.298906269725933
"32","1","50",0.23384785392645
"33","1","50",0.182307804082262
"34","1","50",0.135821633229089
"35","1","50",0.274393531472669
"36","1","50",0.140825625736066
"37","1","50",0.138498720487844
"38","1","50",0.264876183270291
"39","1","50",0.196700902894996
"40","1","50",0.284984273550687
"41","1","50",0.344227537427137
"42","1","50",0.0782120086594262
"43","1","50",0.111418188121169
"44","1","50",0.0148752803796518
"45","1","50",0.146941364004004
"46","1","50",0.0265275144714655
"47","1","50",0.101089708857996
"48","1","50",0.296545082680546
"49","1","50",0.116314823022183
"50","1","50",0.1405632766029
"51","1","50",0.118847863974425
"52","1","50",0.161283758630792
"53","1","50",0.00381554232379832
"54","1","50",0.208281106002054
"55","1","50",0.232484016264128
"56","1","50",0.00847485630113066
"57","1","50",0.00113113897713078
"58","1","50",0.357102007802121
"59","1","50",0.275655477061252
"60","1","50",0.109117885783882
"61","1","50",0.29784596867135
"62","1","50",0.393114476577862
"63","1","50",0.196654919611887
"64","1","50",0.118409817778169
"65","1","50",0.34076952962144
"66","1","50",0.425646663817066
"67","1","50",0.0741615236110008
"68","1","50",0.0198116764224191
"69","1","50",0.294801664730349
"70","1","50",0.252885469519294
"71","1","50",0.260978572272954
"72","1","50",0.093773731226855
"73","1","50",0.338630554349785
"74","1","50",0.33591571246037
"75","1","50",0.278725210532536
"76","1","50",0.403956332111969
"77","1","50",0.0163159827800118
"78","1","50",0.149485827265012
"79","1","50",0.0776459079273543
"80","1","50",0.216089916315525
"81","1","50",0.0645342518217486
"82","1","50",0.334634004962726
"83","1","50",0.218633521113638
"84","1","50",0.154959667727881
"85","1","50",0.415542008490665
"86","1","50",0.268866640597798
"87","1","50",0.0263853060684321
"88","1","50",0.0399082301649345
"89","1","50",0.249458280038467
"90","1","50",0.0327431139328965
"91","1","50",0.298610160110734
"92","1","50",0.0566485931108236
"93","1","50",0.140463226953275
"94","1","50",0.112735094130498
"95","1","50",0.229704819231874
"96","1","50",0.046318402046883
"97","1","50",0.278206576752738
"98","1","50",0.363396463974913
"99","1","50",0.329396994958046
"100","1","50",0.275113464818595
"101","1","50",0.371327131684146
"102","1","50",0.254186498518695
"103","1","50",0.221052714484201
"104","1","50",0.314727415439292
"105","1","50",0.332181215805251
"106","1","50",0.294537699699482
"107","1","50",0.347758245472
"108","1","50",0.240419657006584
"109","1","50",0.368630210379695
"110","1","50",0.287680245457937
"111","1","50",0.307473523751182
"112","1","50",0.00410159295260357
"113","1","50",0.0785455475007511
"114","1","50",0.0942894568350924
"115","1","50",0.22726167574687
"116","1","50",0.246181885664891
"117","1","50",0.0617144039369728
"118","1","50",0.200167472226009
"119","1","50",0.145139398706922
"120","1","50",0.187518946219182
"121","1","50",0.0615520258252713
"122","1","50",0.0329123151742889
"123","1","50",0.126135006933186
"124","1","50",0.178130613117496
"125","1","50",0.162043955686208
"126","1","50",0.300814744649387
"127","1","50",0.0273056956887513
"128","1","50",0.37517955666235
"129","1","50",0.0109382666974371
"130","1","50",0.374181042958281
"131","1","50",0.0144259821894018
"132","1","50",0.24013866191999
"133","1","50",0.387380964670998
"134","1","50",0.286744814821485
"135","1","50",0.165978283557126
"136","1","50",0.20580404579288
"137","1","50",0.263159127804608
"138","1","50",0.0571474625513286
"139","1","50",0.246268280899937
"140","1","50",0.0279802232618746
"141","1","50",0.225993276189171
"142","1","50",0.406167416168956
"143","1","50",0.255416493556145
"144","1","50",0.17102730059152
"145","1","50",0.181518558947407
"146","1","50",0.211218595700112
"147","1","50",0.206063832520834
"148","1","50",0.246292311683733
"149","1","50",0.304450258481395
"150","1","50",0.227132450932281
"151","1","50",0.390797386081957
"152","1","50",0.341929691957197
"153","1","50",0.327097311254485
"154","1","50",0.0333830261875862
"155","1","50",0.138683621130376
"156","1","50",0.0793494783237296
"157","1","50",0.209073054904541
"158","1","50",0.0622952327141194
"159","1","50",0.356449623511124
"160","1","50",0.369368527011778
"161","1","50",0.327814916398904
"162","1","50",0.037575113041688
"163","1","50",0.0879052662255793
"164","1","50",0.127348842937211
"165","1","50",0.336668390461998
"166","1","50",0.337029268603895
