"N","mean","bias","mse","prob","cover","model"
50,-0.00789944816500733,-0.00789944816500733,0.0526705343489198,0.026,0.964,"MCMC-Uniform"
100,-0.047377824289286,-0.047377824289286,0.0273361034974889,0.054,0.94,"MCMC-Uniform"
150,-0.0702974557009801,-0.0702974557009801,0.0213674768592592,0.116,0.874,"MCMC-Uniform"
200,-0.0598146455229422,-0.0598146455229422,0.014389881508263,0.088,0.902,"MCMC-Uniform"
250,-0.0698826194852809,-0.0698826194852809,0.0162693506018907,0.168,0.82,"MCMC-Uniform"
300,-0.0649760216107064,-0.0649760216107064,0.0118267803338049,0.156,0.842,"MCMC-Uniform"
350,-0.0554513642181642,-0.0554513642181642,0.0118690307502065,0.166,0.818,"MCMC-Uniform"
400,-0.0460210455361949,-0.0460210455361949,0.00912238704570433,0.13,0.856,"MCMC-Uniform"
450,-0.0480370857344972,-0.0480370857344972,0.00853111441461695,0.138,0.856,"MCMC-Uniform"
500,-0.0450541548511762,-0.0450541548511762,0.00804445826684959,0.138,0.852,"MCMC-Uniform"
